"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l"
18,4,0.762,0.92,0.721,0.702,0.925,0.723,0.000471253534401508,NA,NA,NA,NA
4,3,0.765,NA,0.723,0.713,0.905,NA,0,NA,NA,NA,NA
7,2,0.781,0.971,0.735,0.7,0.939,0.736,0.00188590287600189,0.500236183278224,0.422709022201228,NA,NA
7,5,0.751,1,0.704,0.676,0.953,0.705,0.000471253534401508,NA,NA,NA,NA
11,5,0.758,0.994,0.716,0.7,0.933,0.718,0.000471253534401508,NA,NA,NA,NA
10,4,0.772,1,0.734,0.722,0.95,0.737,0.000471253534401508,NA,NA,NA,NA
9,4,0.766,1,0.709,0.68,0.954,0.711,0.000471031559114461,0.500235626767201,0.0480678605089538,NA,NA
8,4,0.762,0.986,0.731,0.691,0.938,0.731,0.000471253534401508,0.500235849056604,0.0476415094339623,NA,NA
14,2,0.795,0.999,0.755,0.742,0.95,0.757,0.000471253534401508,NA,NA,NA,NA
12,3,0.754,1,0.729,0.708,0.953,0.731,0.000471475719000471,NA,NA,NA,NA
14,4,0.745,0.901,0.708,0.682,0.917,0.709,0.000471253534401508,NA,NA,NA,NA
13,2,0.789,NA,0.731,0.702,0.949,NA,0.000471475719000471,0.5,0.547877358490566,NA,NA
16,3,0.78,1,0.74,0.712,0.939,0.741,0.000471475719000471,0.500235849056604,0.0476415094339623,NA,NA
