"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.u2r","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l","acc.u2r"
12,3,0.76,0.986,0.73,0.69,0.932,0.648,0.732,0.790007070469008,0.765900607480056,0.731986541197068,0.689469663299957,0.821320964161116,NA
5,3,0.783,0.978,0.734,0.703,0.915,0.764,0.737,0.791234684260132,0.851634342243287,0.724346868731194,0.68403833797387,0.866628366497798,NA
5,4,0.819,0.984,0.753,0.727,0.925,0.88,0.756,0.794908062234795,0.811333817021772,0.767863352630422,0.755898062599425,0.839040463951496,NA
4,4,0.8,0.981,0.748,0.718,0.933,0.803,0.751,0.796606174876267,0.866931091432989,0.746673349478703,0.714500013475735,0.873832156436719,NA
18,5,0.803,0.99,0.76,0.736,0.919,0.856,0.763,0.796418473138549,0.910827504397268,0.764402552464836,0.740843495934959,0.887200758473572,NA
4,3,0.792,0.983,0.743,0.714,0.931,0.784,0.746,0.797408716136631,0.858748282405287,0.749986300256799,0.723218096457533,0.847086579611544,NA
12,5,0.797,0.981,0.741,0.712,0.923,0.814,0.744,0.788928150765607,0.896915776986951,0.712650424609936,0.682314133945948,0.80169664065151,NA
11,5,0.786,0.968,0.737,0.706,0.922,0.8,0.74,0.796841857176526,0.802890359341972,0.748248258797654,0.711901034201416,0.88166933043153,NA
5,5,0.786,0.978,0.729,0.704,0.918,0.8,0.733,0.792884071630537,0.882573963222945,0.73505661005661,0.716489216489216,0.805476997474148,NA
15,1,0.773,0.982,0.736,0.708,0.915,0.785,0.739,0.790949799670045,0.830362094921163,0.724207678953531,0.687393125377205,0.877122784776695,NA
16,4,0.781,0.988,0.737,0.711,0.928,0.746,0.741,0.795427763374971,0.865924025283184,0.757000786442967,0.716191521023977,0.867079184447606,NA
8,1,0.808,0.988,0.719,0.686,0.926,0.913,0.723,0.788121612066934,0.87238531019729,0.706443181796922,0.670087816006498,0.834260411329869,NA
6,2,0.793,0.982,0.739,0.708,0.902,0.811,0.741,0.791607732201792,0.892277145566619,0.72266473790864,0.695483425118392,0.856646552155842,NA
7,2,0.805,0.971,0.72,0.683,0.92,0.893,0.723,0.796134810275748,0.900400787048042,0.735678346209444,0.712237818451645,0.859427620858229,NA
8,5,0.73,0.967,0.738,0.704,0.934,0.583,0.741,0.792177191328935,0.830127443995884,0.734258954549491,0.695406061598058,0.888120693751485,NA
9,1,0.778,0.979,0.738,0.707,0.901,0.782,0.74,0.79052780395853,0.82480116334283,0.717924161483042,0.690861572768164,0.817253065464274,NA
10,1,0.777,0.976,0.73,0.694,0.917,0.781,0.732,0.790341578327444,0.842739879677781,0.721501877346683,0.684255842558426,0.88040753413056,NA
9,5,0.778,0.975,0.734,0.705,0.918,0.776,0.737,0.7923638934716,0.829656862745098,0.740059968734655,0.718846497446156,0.858622062923138,NA
19,1,0.743,0.982,0.75,0.725,0.928,0.561,0.753,0.800188501413761,0.85353126405758,0.783247257846574,0.769209711156025,0.88766018035121,NA
8,4,0.763,0.974,0.738,0.706,0.906,0.753,0.74,0.793355325164939,0.824027488035342,0.729027292641051,0.706436774299538,0.886020915271807,NA
9,4,0.797,0.981,0.744,0.705,0.932,0.864,0.746,0.794062205466541,0.860002378686965,0.757909993990172,0.727990114174325,0.812819958180114,NA
18,1,0.818,0.985,0.753,0.72,0.928,0.921,0.755,0.797360980207352,0.834883444338725,0.769356977809377,0.750566597805812,0.799798195631529,NA
7,5,0.77,0.977,0.728,0.698,0.9,0.764,0.731,0.78746465598492,0.872032288698955,0.707502010426488,0.670760693662878,0.783311688311688,NA
17,3,0.792,0.984,0.738,0.694,0.932,0.86,0.739,0.795947219604147,0.814857192202241,0.745167618091997,0.721332792920593,0.790325482322633,NA
8,2,0.799,0.988,0.75,0.729,0.914,0.84,0.754,0.792314945780292,0.799539285893134,0.728054108216433,0.714610246499169,0.816816064900596,NA
14,2,0.807,0.989,0.734,0.703,0.919,0.894,0.737,0.793168433451119,0.834765160523187,0.727317335875313,0.716041221844167,0.810943327699163,NA
19,4,0.82,0.987,0.739,0.708,0.903,0.934,0.741,0.789771388168748,0.812697916014769,0.72308871922514,0.682333789399007,0.812079911580625,NA
18,4,0.75,0.978,0.716,0.68,0.897,0.661,0.718,0.786522148916117,0.860002378686965,0.70500505009792,0.658811217424147,0.825715185116183,NA
9,3,0.815,0.986,0.731,0.701,0.937,0.808,0.735,0.797077539476785,0.868695681694731,0.744747511284938,0.715326352472342,0.84403924633151,NA
18,2,0.807,0.983,0.74,0.708,0.926,0.882,0.743,0.78995756718529,0.789305679465038,0.72183423281747,0.702729009406339,0.805589753558392,NA
19,3,0.814,0.973,0.727,0.691,0.922,0.948,0.729,0.78930002356823,0.89656235182551,0.718086711499875,0.69370817928118,0.745331653110322,NA
17,5,0.747,0.977,0.739,0.71,0.91,0.627,0.741,0.794013669573415,0.885568205776935,0.738579514149762,0.705165638778256,0.843372551473809,NA
7,4,0.793,0.98,0.728,0.692,0.929,0.808,0.731,0.793355325164939,0.871560721062619,0.733392894681522,0.703202663502929,0.817372028110003,NA
19,2,0.807,0.976,0.74,0.701,0.922,0.932,0.742,0.797313221777045,0.829891605348524,0.750712547693573,0.720716419530398,0.86078349944629,NA
8,3,0.756,0.972,0.751,0.717,0.923,0.641,0.753,0.79995287464656,0.896915045087803,0.772866892221313,0.746082763002108,0.825715185116183,NA
15,4,0.788,0.981,0.725,0.694,0.907,0.897,0.728,0.788543140028289,0.858745917807771,0.723820513904916,0.68680771083048,0.820631528964862,NA
16,2,0.777,0.974,0.738,0.711,0.916,0.762,0.741,0.789585296889727,0.853703578205476,0.71231645698396,0.693150031400166,0.816821833470981,NA
14,4,0.783,0.977,0.735,0.706,0.912,0.781,0.738,0.79259957577186,0.887775320588934,0.724763374253009,0.70549067102773,0.790301771871539,NA
16,3,0.771,0.972,0.742,0.7,0.929,0.751,0.743,0.789535705868489,0.851633581472291,0.727851772527497,0.691972814107274,0.79979517929233,NA
15,3,0.775,0.976,0.753,0.716,0.919,0.767,0.754,0.795192081074711,0.849971349908459,0.741166252013897,0.69911946574326,0.857621768059759,NA
14,5,0.794,0.976,0.738,0.712,0.918,0.874,0.741,0.793590951932139,0.814857192202241,0.736087614516512,0.696710056571648,0.83651117509373,NA
14,3,0.739,0.989,0.743,0.709,0.906,0.603,0.744,0.790664780763791,0.82479958432304,0.72610002117971,0.683773148148148,0.821547619047619,NA
15,2,0.756,0.973,0.747,0.714,0.928,0.641,0.749,0.788642789820924,0.856288580246914,0.708235029771936,0.679290938240609,0.808384401963474,NA
16,1,0.793,0.976,0.739,0.702,0.935,0.86,0.741,0.795947219604147,0.807601873325667,0.757477510656971,0.716258237100711,0.814533835988152,NA
