"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l"
11,2,0.793,0.957,0.751,0.715,0.95,0.751,0.9062205466541,0.4997642621405,0.795412494039104,0.626732829237555,0.800565061258978
11,3,0.843,NA,0.761,0.735,0.972,NA,0.904290429042904,0.5,0.704263935207242,0.602649006622517,0.816207878500237
11,4,0.85,0.978,0.773,0.735,0.981,0.773,0.908105560791706,0.4997642621405,0.818351813104437,0.877205419029616,0.768203463203463
11,5,0.856,0.999,0.762,0.74,0.971,0.763,0.905749293119698,0.499764150943396,0.754935622317596,0.674569402228977,0.838764245014245
12,1,0.786,0.931,0.771,0.734,0.977,0.771,0.906691800188501,0.499764150943396,0.815721377270807,0.877441713925646,0.793844696969697
12,2,0.835,0.998,0.761,0.728,0.958,0.762,0.907119283356907,0.499764150943396,0.830259400285578,0.543144208037825,0.879634359947453
12,3,0.898,0.999,0.763,0.738,0.97,0.764,0.906647807637907,0.666666666666667,0.775391221374046,0.773219356365357,0.780256288561936
12,4,0.851,0.988,0.759,0.728,0.978,0.76,0.908105560791706,0.4997642621405,0.788941925218775,0.760085025980161,0.853335146528864
12,5,0.813,NA,0.753,0.728,0.932,NA,0.905278039585297,0.5,0.764069264069264,0.793220072361177,0.759242699455079
13,1,0.832,0.998,0.729,0.702,0.952,0.731,0.902496467263307,NA,0.692939958592133,0.596354166666667,0.785745302384336
13,2,0.842,NA,0.777,0.756,0.953,NA,0.907119283356907,NA,0.796910210826782,0.960321209258384,0.761206077872745
13,3,0.834,0.964,0.775,0.74,0.969,0.775,0.910461828463713,NA,0.86897487416368,0.81789935832489,0.901739078822412
13,4,0.796,0.981,0.751,0.715,0.944,0.751,0.905704856199906,0.49976403964134,0.781282380735276,0.584848842701937,0.789127152762246
13,5,0.883,0.999,0.772,0.745,0.935,0.772,0.905233380480905,0.666666666666667,0.751644911387032,0.626713947990544,0.772784910445395
14,1,0.898,1,0.783,0.754,0.958,0.783,0.905749293119698,1,0.755544933078394,0.710103871576959,0.755469718645684
14,2,0.801,0.966,0.777,0.748,0.968,0.778,0.907163053722903,NA,0.809600413091834,0.860557392536608,0.757927271817203
14,3,0.847,0.997,0.756,0.724,0.972,0.757,0.906647807637907,0.499764150943396,0.781282380735276,0.531220435193945,0.895489078822412
14,4,0.818,0.984,0.737,0.712,0.937,0.738,0.9062205466541,NA,0.77517405817835,0.793635790800252,0.75816502740446
14,5,0.819,NA,0.747,0.708,0.968,NA,0.906647807637907,0.5,0.817427832830676,0.835085025980161,0.910520094562648
15,1,0.79,0.943,0.752,0.723,0.962,0.753,0.902967498822421,0.499764373232799,0.704415274463007,0.522074468085106,0.811036621973184
15,2,0.886,1,0.742,0.711,0.967,0.743,0.90994813767091,1,0.855497382198953,0.860538752362949,0.888111058376839
15,3,0.847,0.998,0.773,0.741,0.958,0.773,0.903818953323904,NA,0.714130319431179,0.817880794701987,0.66928843407901
15,4,0.834,0.979,0.766,0.723,0.965,0.765,0.905793688177108,NA,0.818657782008567,0.709886739027843,0.744536817102138
15,5,0.865,NA,0.764,0.742,0.985,NA,0.909433962264151,0.5,0.825454583151915,0.835302457466919,0.856829474574479
16,1,0.843,0.999,0.771,0.74,0.959,0.772,0.908619877531795,NA,0.835995197317747,0.960576015108593,0.838766611295681
16,2,0.848,0.985,0.774,0.744,0.967,0.775,0.9062205466541,NA,0.77517405817835,0.793635790800252,0.75816502740446
16,3,0.902,1,0.772,0.734,0.953,0.772,0.906176331918906,0.75,0.775391221374046,0.531220435193945,0.838999406175772
16,4,0.82,0.958,0.749,0.718,0.984,0.75,0.907119283356907,0.49976403964134,0.789159503342884,0.710283687943262,0.811269968451099
16,5,0.826,NA,0.757,0.74,0.952,NA,0.906647807637907,NA,0.787511870845204,0.793853427895981,0.82717803030303
17,1,0.839,0.973,0.775,0.743,0.979,0.776,0.907634307257304,NA,0.812164275515061,0.674569402228977,0.887876118189211
17,2,0.843,0.998,0.765,0.73,0.953,0.765,0.90994813767091,0.499764150943396,0.847214738674514,0.710283687943262,0.933461995249406
17,3,0.82,NA,0.745,0.724,0.936,NA,0.905278039585297,0.5,0.762214405825273,0.793635790800252,0.724161900222434
17,4,0.782,0.919,0.782,0.749,0.976,0.782,0.905233380480905,0.49976403964134,0.775391551969625,0.760302457466919,0.779328287606433
17,5,0.867,1,0.737,0.704,0.962,0.737,0.904335532516494,0.4997642621405,0.743375660598943,0.710066162570888,0.731611482343519
