,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,2.0,5.0,86.0,0.8337014947352921,0.940680430357662,0.8839660388406363,24073.0,0.8060617746783947,1.0,0.9580838323353292,0.9785932721712538,334.0,0.9790419161676648,0.9718309859154929,0.871578947368421,0.9189789123196448,475.0,0.9356288139080632,0.9682539682539684,0.8652482269503546,0.9138576779026216,141.0,0.932571034918914,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8528081985331056,0.6647349048476779,0.7471173312208432,12769.0,0.8031282699234398,0.8439847570837783,0.846487401179239,0.8391889593956212,37821.0,0.8088069110551095,193301.0984020233
0,16.0,5.0,76.0,0.8247950076191858,0.9443359780667138,0.8805267744746781,24073.0,0.796542443499461,1.0,0.9550898203592816,0.9770290964777948,334.0,0.9775449101796408,0.9742990654205608,0.8778947368421053,0.9235880398671096,475.0,0.9388000969595842,0.967741935483871,0.851063829787234,0.9056603773584906,141.0,0.9254788363373536,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8554371422932702,0.6789098598167437,0.7570187311705892,12769.0,0.8102157474079726,0.8392324570301529,0.8535998519341107,0.8403562645013377,37821.0,0.8051408921761535,200099.02167391774
0,4.0,4.0,82.0,0.8363340604088876,0.9397250031155236,0.8850201478815384,24073.0,0.808822123238373,1.0,0.9639639639639641,0.9816513761467892,333.0,0.981981981981982,0.9696969696969696,0.8757894736842106,0.9203539823008848,475.0,0.9377206747688922,0.9682539682539684,0.8652482269503546,0.9138576779026216,141.0,0.932571030692578,1.0,1.0,1.0,21.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8545561319369678,0.6838189223057645,0.7597128562105719,12768.0,0.8122487825101676,0.8462153577376971,0.8523983288381194,0.8441275517077299,37818.0,0.8136727818406593,239159.7627608776
0,13.0,5.0,83.0,0.8391743391743391,0.9389772774477629,0.8862749710835343,24073.0,0.8119269889093765,1.0,0.9669669669669668,0.9832061068702289,333.0,0.9834834834834836,0.9717647058823531,0.8694736842105263,0.9177777777777778,475.0,0.9345761780270732,0.96875,0.8794326241134752,0.9219330855018588,141.0,0.9396632320917704,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8536130993234631,0.6818075025452267,0.758098223615465,12769.0,0.8111045416602227,0.8477369518111921,0.8512691697514543,0.8444180102701929,37820.0,0.8152810284707193,239271.1449201107
0,9.0,4.0,87.0,0.8400804439313247,0.9370638085742772,0.8859258095556035,24072.0,0.8123637343715144,1.0,0.9610778443113772,0.9801526717557252,334.0,0.9805389221556886,0.9870689655172412,0.96218487394958,0.9744680851063829,476.0,0.9810121027845586,0.9669421487603306,0.8357142857142857,0.8965517241379308,140.0,0.9178040643008796,1.0,1.0,1.0,22.0,1.0,1.0,1.0,1.0,7.0,1.0,0.8511022044088177,0.6652047928577023,0.7467580992571102,12769.0,0.8029429017978983,0.8476561930942278,0.8454785827604442,0.8410125674059464,37820.0,0.8133250147217355,276228.3088719845
0,12.0,2.0,85.0,0.8349675611913889,0.9409296722469156,0.8847874064959668,24073.0,0.8076411526785929,1.0,0.9640718562874252,0.9817073170731708,334.0,0.9820359281437124,0.9788732394366196,0.8760504201680672,0.9246119733924612,476.0,0.9379047120253912,0.9669421487603306,0.8297872340425532,0.8931297709923665,141.0,0.9148405384650132,1.0,1.0,1.0,21.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8555478707637585,0.6781267131333699,0.7565749235474006,12769.0,0.809884049525331,0.8457985607807773,0.8511144602205124,0.8429002214722334,37821.0,0.8120671070481578,244221.6992521286
0,7.0,5.0,83.0,0.8359807905430365,0.9400573256345284,0.8849695950569971,24073.0,0.80852713510011,1.0,0.96996996996997,0.9847560975609756,333.0,0.984984984984985,0.976798143851508,0.8863157894736842,0.9293598233995584,475.0,0.9430240044197898,0.9593495934959351,0.8428571428571429,0.897338403041825,140.0,0.9213622214723624,1.0,1.0,1.0,22.0,1.0,1.0,0.5,0.6666666666666666,8.0,0.75,0.8567091087169442,0.6850720551378446,0.7613369309774567,12768.0,0.8133355964484082,0.8467784852127068,0.8531426002802824,0.8447328962396953,37819.0,0.8139101967747364,269981.642257452
0,4.0,1.0,89.0,0.8465194610778443,0.9396003821708968,0.8906345362549957,24073.0,0.8206512239629579,1.0,0.9700598802395208,0.9848024316109424,334.0,0.9850299401197604,0.9675925925925926,0.88,0.9217199558985668,475.0,0.9398125635944946,0.96,0.851063829787234,0.9022556390977444,141.0,0.9254655666982878,1.0,1.0,1.0,22.0,1.0,1.0,0.42857142857142855,0.6,7.0,0.7142857142857143,0.8576818885448917,0.6942595348108701,0.7673663709153863,12769.0,0.8177708339869455,0.853704806928377,0.8559001612860581,0.8502923089766992,37821.0,0.8231023586433842,243283.48052310947
0,10.0,3.0,84.0,0.8372746083357966,0.9413426387504156,0.8862640801001251,24072.0,0.8104792635044089,1.0,0.972972972972973,0.9863013698630138,333.0,0.9864864864864864,0.9675925925925926,0.88,0.9217199558985668,475.0,0.9398125485365396,0.9763779527559056,0.8857142857142857,0.9288389513108616,140.0,0.9428173318268334,1.0,1.0,1.0,21.0,1.0,1.0,0.5,0.6666666666666666,8.0,0.75,0.8558033951835767,0.6790664891534184,0.7572595083184139,12769.0,0.8103704037447399,0.8472401322075652,0.8520281347506479,0.8442070368507351,37818.0,0.8141991089826359,249940.22343707085
0,13.0,4.0,84.0,0.8360995083724541,0.9396394150880693,0.8848508557457213,24072.0,0.8085716167737967,1.0,0.9669669669669668,0.9832061068702289,333.0,0.9834834834834836,0.976470588235294,0.8718487394957983,0.9211986681465038,476.0,0.9357904830160744,0.96875,0.8794326241134752,0.9219330855018588,141.0,0.9396632335004742,1.0,1.0,1.0,22.0,1.0,1.0,0.5,0.6666666666666666,8.0,0.75,0.8539128639273178,0.6477406218184666,0.7366733466933868,12769.0,0.7956290527262541,0.845947872214633,0.8401946008831073,0.8363061754436286,37821.0,0.8079308352259219,240484.98772835732
0,3.0,2.0,82.0,0.836379106244451,0.9391849790221409,0.8848057919968692,24073.0,0.8087444278338576,1.0,0.9700598802395208,0.9848024316109424,334.0,0.9850299401197604,0.9789719626168224,0.8821052631578947,0.9280177187153932,475.0,0.940932139973196,0.9758064516129032,0.8581560283687943,0.9132075471698112,141.0,0.9290382063236716,1.0,1.0,1.0,22.0,1.0,1.0,0.625,0.7692307692307693,8.0,0.8125,0.8534844668345928,0.6368548829195708,0.7294254832488676,12769.0,0.7905665066415999,0.8460392833153719,0.83633863888742,0.8339223828776395,37822.0,0.8063847889622427,191174.89348888397
0,12.0,5.0,86.0,0.841460690887433,0.9390188177626386,0.8875669945226458,24073.0,0.8146141513893205,1.0,0.9670658682634732,0.9832572298325724,334.0,0.9835329341317364,0.9699769053117784,0.8842105263157894,0.9251101321585904,475.0,0.9419312150670685,0.967741935483871,0.851063829787234,0.9056603773584906,141.0,0.9254788363373536,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8558717121345458,0.6854882919570836,0.7612628283179684,12769.0,0.8133253371010072,0.8499325704477806,0.8526215594510986,0.8463443474200486,37821.0,0.817785556672703,243684.51982975012
0,2.0,2.0,86.0,0.8448889388320785,0.9369833423337348,0.8885562339964546,24073.0,0.8178660346180532,1.0,0.972972972972973,0.9863013698630138,333.0,0.9864864864864864,0.9694835680751174,0.8694736842105263,0.9167591564927858,475.0,0.9345627846930952,0.967741935483871,0.8571428571428571,0.9090909090909091,140.0,0.9285183486064614,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8554428404213812,0.6868196413188189,0.7619130359237218,12769.0,0.8138289823360563,0.8519566783798795,0.8516618630846928,0.8471229902580384,37819.0,0.8199630137852302,191607.42305850986
0,2.0,4.0,87.0,0.8433833968467459,0.9377310680014954,0.8880583803772695,24073.0,0.8164069945768315,1.0,0.9730538922155688,0.9863429438543247,334.0,0.9865269461077844,0.9766899766899768,0.8821052631578947,0.9269911504424778,475.0,0.940918748432158,0.968,0.8581560283687943,0.9097744360902256,141.0,0.9290249356281338,1.0,1.0,1.0,22.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8516200666195619,0.6607408567624716,0.7441347680366907,12769.0,0.8010314534490947,0.8498062156443414,0.8434996430554453,0.840940606757348,37821.0,0.8148030229493773,195603.781917572
0,14.0,2.0,91.0,0.8429338904641098,0.9386008640744432,0.8881987577639749,24072.0,0.8161649744495597,1.0,0.960960960960961,0.9800918836140888,333.0,0.9804804804804804,0.9696261682242991,0.8718487394957983,0.918141592920354,476.0,0.9357503030133912,0.968503937007874,0.8785714285714286,0.9213483146067416,140.0,0.9392326329119683,1.0,1.0,1.0,21.0,1.0,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.8562097971301336,0.6775785104550083,0.7564920870857743,12769.0,0.8097861014089884,0.8509752001180021,0.8495689883124438,0.8450699038950259,37818.0,0.817515249528881,250922.7879264355
