,AUC_Background,AUC_Botnet,AUC_DoS,AUC_SSHscan,AUC_Scan,AUC_Spam,AUC_UDPscan,AUC_w,F1_score_Background,F1_score_Botnet,F1_score_DoS,F1_score_SSHscan,F1_score_Scan,F1_score_Spam,F1_score_UDPscan,F1_score_w,Kfold,Num. Obs. Background,Num. Obs. Botnet,Num. Obs. Dos,Num. Obs. SSHscan,Num. Obs. Scan,Num. Obs. Spam,Num. Obs. UDPscan,Num. Vars.,Precision-Background,Precision-Botnet,Precision-DoS,Precision-SSHscan,Precision-Scan,Precision-Spam,Precision-UDPscan,Precision-w,Recall-Background,Recall-Botnet,Recall-DoS,Recall-SSHscan,Recall-Scan,Recall-Spam,Recall-UDPscan,Recall-w,Rep.,Time,Total Obs.,Unnamed: 0
0,0.7960559493165966,0.9823008849557522,0.9322039235143698,0.5,1.0,0.7584532200927163,0.6666666666666666,0.7867836744713798,0.8404410235073851,0.981981981981982,0.92,0.0,1.0,0.6937419235739339,0.5,0.7843096489786876,5,4484,113,133,19,64,3194,6,89,0.7875243664717348,1.0,0.9829059829059827,0.0,1.0,0.8452541610436347,1.0,0.8167637021538905,0.9009812667261374,0.9646017699115044,0.8646616541353384,0.0,1.0,0.5882905447714465,0.3333333333333333,0.7748658430051167,2,3467.223411083221,8013,
0,0.806657230242677,0.96875,0.9510643597189444,1.0,0.921875,0.7652163989407469,1.0,0.7963527885757099,0.8489328474752734,0.967741935483871,0.9448818897637796,1.0,0.9152542372881356,0.7036082474226804,1.0,0.7952906492010686,5,4484,112,133,19,64,3193,7,93,0.7961335676625659,1.0,0.9917355371900828,1.0,1.0,0.8535060294774452,1.0,0.8273849845190601,0.9092328278322926,0.9375,0.9022556390977444,1.0,0.84375,0.59849671155653,1.0,0.7854468297553671,16,5112.224147558212,8012,
0,0.8295164110842077,0.9556256140857976,0.8566986383333637,0.5,0.8966995948377253,0.8109704840411389,0.8333333333333333,0.8241025962423607,0.8638189892154791,0.9449541284403671,0.8085106382978725,0.0,0.8695652173913043,0.7703373865387909,0.8,0.8247274463742058,4,4484,113,133,19,63,3194,6,72,0.8212706071572176,0.9809523809523808,0.931372549019608,0.0,0.9615384615384616,0.8502835538752362,1.0,0.8362057120212953,0.9110169491525424,0.9115044247787609,0.7142857142857143,0.0,0.7936507936507936,0.7041327489041954,0.6666666666666666,0.8220169745381927,4,3090.680018901825,8012,
0,0.8100053655122472,0.9690265486725664,0.9246216505854051,0.5,0.8887001859073818,0.7879097426429612,0.6428571428571428,0.8050827082446226,0.8501727567793947,0.9680365296803652,0.9076305220883534,0.0,0.8521739130434781,0.7383802816901409,0.4444444444444445,0.8058816694657899,5,4484,113,133,19,63,3193,7,83,0.8012630747977106,1.0,0.9741379310344828,0.0,0.9423076923076924,0.8431845597104946,1.0,0.8230251692450716,0.9054415700267618,0.9380530973451328,0.849624060150376,0.0,0.7777777777777778,0.6567491387409959,0.2857142857142857,0.8021717423864204,13,4034.668021440506,8012,
0,0.8160226690141325,0.9291402326566376,0.67783992354052,1.0,0.9841269841269842,0.7601485502776706,0.6666666666666666,0.7947107519215826,0.8549874266554904,0.9194312796208532,0.5164835164835165,1.0,0.9838709677419354,0.6957166697570926,0.5,0.7879088870388334,4,4484,113,132,19,63,3194,6,93,0.8063241106719368,0.9897959183673468,0.94,1.0,1.0,0.8531150522964984,1.0,0.8318978564553102,0.9099018733273864,0.8584070796460177,0.3560606060606061,1.0,0.9682539682539684,0.5873512836568566,0.3333333333333333,0.771688927724379,9,9659.349365711212,8011,
0,0.8231064950511874,0.9823008849557522,0.8214620827564991,1.0,0.992063492063492,0.7732364777981131,1.0,0.8073464589141981,0.8590717299578059,0.981981981981982,0.7555555555555555,1.0,0.992,0.7171029042667623,1.0,0.8040061920439513,2,4484,113,132,19,63,3194,7,92,0.8150520416333067,1.0,0.913978494623656,1.0,1.0,0.8389261744966443,1.0,0.8308622962202137,0.9081177520071364,0.9646017699115044,0.6439393939393939,1.0,0.984126984126984,0.6261740763932373,1.0,0.7930604093859212,12,3009.404536247253,8012,
0,0.8423337762881733,0.9512641424890781,0.9548237662684632,1.0,0.9126355196166516,0.832055961173309,0.7142857142857143,0.8424549905921052,0.8720905402519752,0.9444444444444444,0.9490196078431372,1.0,0.8965517241379309,0.7980543441798055,0.6,0.8451346744647702,5,4484,113,133,19,63,3194,7,81,0.8365424006554691,0.9902912621359224,0.9918032786885246,1.0,0.981132075471698,0.8594653179190751,1.0,0.8520919030842755,0.9107939339875112,0.9026548672566372,0.9097744360902256,1.0,0.8253968253968254,0.7448340638697558,0.42857142857142855,0.8436291027080993,7,5625.143411159515,8013,
0,0.8431025434977524,0.8125,0.7588274302507538,0.5,1.0,0.8406057906094159,0.6428571428571428,0.8405454571912825,0.8725018702575611,0.7692307692307693,0.6540284360189573,0.0,1.0,0.8090075062552128,0.4444444444444445,0.8406987520865509,1,4484,112,133,19,64,3194,7,81,0.8376769956905397,1.0,0.8846153846153846,0.0,1.0,0.8657622277757944,1.0,0.8513717771553867,0.9103479036574488,0.625,0.5187969924812029,0.0,1.0,0.7592360676268003,0.2857142857142857,0.8376388368900537,4,3315.613923549652,8013,
0,0.826814311808577,0.9690265486725664,0.9586466165413534,1.0,1.0,0.7556315377551256,0.8333333333333333,0.8044087001671906,0.8623234239932532,0.9680365296803652,0.9568627450980391,1.0,1.0,0.6895914217045666,0.8,0.7978861841065968,3,4484,113,133,19,63,3194,6,87,0.8176729308276689,1.0,1.0,1.0,1.0,0.8419864559819413,1.0,0.8349663207985007,0.9121320249776984,0.9380530973451328,0.9172932330827068,1.0,1.0,0.5839073262366938,0.6666666666666666,0.7824513230154768,10,3738.8849296569824,8012,
0,0.8106832357597198,0.9821428571428572,0.8138862607545182,1.0,0.8968253968253967,0.7771928474463421,0.6428571428571428,0.8007602759093493,0.8503722344552795,0.9818181818181818,0.7443946188340808,1.0,0.8849557522123894,0.7228571428571429,0.4444444444444445,0.7998953767486474,4,4484,112,132,19,63,3194,7,94,0.8024935681773204,1.0,0.912087912087912,1.0,1.0,0.8412302576891105,1.0,0.8246993143380013,0.9043264942016056,0.9642857142857144,0.6287878787878788,1.0,0.7936507936507936,0.6336881653099562,0.2857142857142857,0.7915366371239546,13,9694.8474650383,8011,
