"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
15,1,0.854,0.998,0.958,0.747,0.965,0.946752923612839,0.988620902860437,0.95694737239959,0.974775224775225
15,2,0.848,0.995,0.958,0.737,0.963,0.946268656716418,0.988839696555155,0.955421417393248,0.900125
15,3,0.852,0.996,0.959,0.745,0.964,0.946033325043522,0.988102199653513,0.95556994593467,0.945613210319093
15,4,0.883,0.996,0.965,0.802,0.97,0.945508833043046,0.988437235902648,0.952561648376278,0.898047560822674
15,5,0.854,0.997,0.959,0.748,0.965,0.946517412935323,0.98894279920641,0.956301847977312,0.945482064921897
16,1,0.889,0.999,0.97,0.811,0.974,0.94849465041055,0.990411111011525,0.957896944528292,0.948934210526316
16,2,0.85,0.997,0.96,0.736,0.965,0.945771144278607,0.988389207844823,0.955750449168442,0.86135113011051
16,3,0.885,0.996,0.969,0.798,0.972,0.945771144278607,0.98783424485084,0.955485618659968,0.922374669490522
16,4,0.883,0.997,0.967,0.797,0.971,0.94452736318408,0.987389049610834,0.953535814295308,0.903690208266352
16,5,0.846,0.996,0.958,0.73,0.963,0.94452736318408,0.986555819453808,0.954422833296073,0.916070300216014
17,1,0.848,0.996,0.956,0.743,0.963,0.945232760766741,0.987804024518729,0.953617500606997,0.94892182933572
17,2,0.857,0.997,0.96,0.751,0.966,0.946792640477374,0.989102144978189,0.956287825838324,0.922387157000671
17,3,0.838,0.997,0.957,0.715,0.962,0.946255287384922,0.98841475558388,0.956016324053856,0.9749000999001
17,4,0.846,0.996,0.957,0.734,0.962,0.943297687142502,0.985774797341961,0.953490733852649,0.935964609243052
17,5,0.898,0.997,0.97,0.824,0.975,0.946766169154229,0.989443023685256,0.954969110354869,0.901633414030108
18,1,0.881,0.997,0.968,0.791,0.972,0.945273631840796,0.988126456749603,0.955316439089985,0.869493153027533
18,2,0.85,0.997,0.958,0.743,0.964,0.94650410549888,0.989147033050198,0.955398706162413,0.947353439417923
18,3,0.838,0.995,0.955,0.718,0.96,0.944278606965174,0.986534265734266,0.954486914491048,0.936083008581137
18,4,0.874,0.997,0.963,0.786,0.969,0.946779408107436,0.989563094350931,0.955537529688851,0.898671416193319
18,5,0.85,0.996,0.96,0.735,0.964,0.945011196815128,0.987310483345227,0.955184574892446,0.891422977588936
19,1,0.846,0.997,0.956,0.738,0.963,0.945011196815128,0.987339342014567,0.953968083139133,0.947353439417923
19,2,0.879,0.997,0.967,0.791,0.971,0.947512437810945,0.989674719700084,0.956832257623665,0.910139126083693
19,3,0.882,0.997,0.966,0.8,0.971,0.94650410549888,0.989178609520224,0.954138987675859,0.901877829733541
19,4,0.853,0.997,0.961,0.742,0.965,0.946517412935323,0.989231505333837,0.956441958041958,0.945357158601637
19,5,0.85,0.996,0.96,0.736,0.964,0.944292464561054,0.985958382991534,0.954518863241499,0.974550898203593
20,1,0.849,0.997,0.958,0.74,0.964,0.946517412935323,0.98894279920641,0.955449887616323,0.95025
20,2,0.879,0.996,0.967,0.793,0.971,0.947997014182632,0.989996348541434,0.95661432569352,0.918140399545358
20,3,0.846,0.994,0.958,0.733,0.963,0.945287241979607,0.987578586255329,0.954706660807083,0.922380914805755
20,4,0.841,0.997,0.955,0.728,0.962,0.944776119402985,0.987601794827595,0.95455191461576,0.886533629189872
20,5,0.879,0.996,0.968,0.784,0.971,0.944264742473252,0.986267164179105,0.954059591732476,0.919325724124524
