"Repetition","Fold","auc.multiclass", "auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
12,3,0.693,0.953,0.595,0.594,0.596,0.916267942583732,NA,0.458792525155726,0.459032103497844
12,1,0.576,NA,0.577,0.574,NA,0.9167065581618,NA,0.559213051823417,0.559213051823417
13,3,0.592,NA,0.593,0.591,NA,0.916267942583732,NA,0.458792525155726,0.458792525155726
4,3,0.686,0.965,0.562,0.564,0.563,0.913438546150167,NA,0.508673714560308,0.508913983661701
16,3,0.649,0.865,0.582,0.579,0.582,0.916746411483254,NA,0.584012464046021,0.584252157238734
14,2,0.712,0.97,0.597,0.596,0.597,0.918181818181818,NA,0.959071325993298,0.959310674964098
9,4,0.625,NA,0.625,0.625,NA,0.918142651986597,NA,NA,NA
18,1,0.705,0.994,0.574,0.572,0.574,0.915829746532759,NA,0.458572796934866,0.458812260536398
13,1,0.702,0.972,0.588,0.585,0.588,0.916267942583732,NA,0.458792525155726,0.459032103497844
14,4,0.711,0.998,0.558,0.555,0.558,0.917742706838833,NA,0.958851674641148,0.959090909090909
12,5,0.696,0.936,0.596,0.596,0.596,0.914873266379723,NA,0.458533077660594,0.458772770853308
