split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params
0.4313027910579095,0.5575705648987354,0.48542223176073873,0.5765320451026378,0.5754308308585189,0.5251872292494543,0.057638887332122524,24,121.24043688774108,5.519835442586141,3.855390787124634,0.8565400358924966,1.1532629231795404,"OrderedDict([('C', 1.1532629231795404)])"
0.44826288007830434,0.543462467250661,0.47945864859459314,0.5771504743271028,0.5759105827999569,0.5247839605042729,0.05218385764125001,26,142.6187747478485,10.711924539478346,4.856879711151123,1.6052184456652854,2.2498782522548937,"OrderedDict([('C', 2.2498782522548937)])"
0.4473197873855896,0.547546524328388,0.4777435715704453,0.5769027111404703,0.575614489440983,0.5249612272260716,0.05297763229543544,25,131.02876052856445,1.4716352416176932,3.319200944900513,0.4640534729347007,1.7596224946003123,"OrderedDict([('C', 1.7596224946003123)])"
0.48580149354336116,0.5087754212028737,0.49361849914017913,0.5788840109269999,0.5770835126549466,0.5287698459385106,0.04079840472610058,23,68.48254284858703,5.64872999545797,4.977757596969605,0.4435465843555004,0.32865733091566424,"OrderedDict([('C', 0.32865733091566424)])"
0.44316613539166033,0.5072726805870406,0.45716113083109666,0.5657160780170915,0.5753291834797674,0.5096503468869245,0.054095308394838885,30,295.93023738861086,25.447646000254437,3.376641035079956,0.6769996757163311,9.074178473759838,"OrderedDict([('C', 9.074178473759838)])"
0.44496302240128544,0.5078356209624942,0.45915389336316376,0.563209093449809,0.5756664698212617,0.5100882871509923,0.05283269753106101,29,245.12914757728578,6.870719099706905,2.8466742038726807,0.35440129588431896,6.55959078869654,"OrderedDict([('C', 6.55959078869654)])"
0.4313027910579095,0.5575705648987354,0.48542223176073873,0.5765320451026378,0.571607360900635,0.5244247301863445,0.05699082313860929,27,85.53403587341309,5.611719429975549,4.614889335632324,0.6169365468821646,1.1412570783544689,"OrderedDict([('C', 1.1412570783544689)])"
0.550002524714612,0.6049595160843978,0.48661238285327835,0.5925868643610838,0.5882065067935137,0.5644485093319854,0.04305845414116947,21,36.87074785232544,3.5587652097439,5.702495813369751,0.3019020629185637,0.130555654824358,"OrderedDict([('C', 0.130555654824358)])"
0.463884476834954,0.502626090670338,0.4955540595800069,0.5730016189568096,0.5711346336871458,0.5211739559458675,0.04349901198402742,28,55.94263949394226,5.313795301057484,6.194220399856567,0.7074180708424468,0.48368976569809263,"OrderedDict([('C', 0.48368976569809263)])"
0.5226970331285833,0.500963015993165,0.4842389935709646,0.5920481095489775,0.5850405423369107,0.5369346729777273,0.04386379557470305,22,56.984546422958374,3.2166080382921116,4.995990419387818,0.5258796016138142,0.1971694495083239,"OrderedDict([('C', 0.1971694495083239)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846160543770081,0.5727185285844764,0.04278298898958013,13,53.36951241493225,4.228877562584312,5.472129583358765,0.27184856623212095,0.1,"OrderedDict([('C', 0.1)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846160543770081,0.5727185285844764,0.04278298898958013,13,53.45403895378113,2.545974409315922,5.305942058563232,0.22855963764212145,0.1,"OrderedDict([('C', 0.1)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846160543770081,0.5727185285844764,0.04278298898958013,13,48.962687730789185,3.1829684432248313,5.321962690353393,0.23243074914125122,0.1,"OrderedDict([('C', 0.1)])"
0.5810693035686673,0.61539024325405,0.4901882649122905,0.5931627701815041,0.5848281473982786,0.5729175744630991,0.043067877043692554,7,48.13319854736328,1.714940195683705,5.244547128677368,0.1673648165189995,0.1000419613412267,"OrderedDict([('C', 0.1000419613412267)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846440071258865,0.5727241030874975,0.04278454063347041,12,51.21217408180237,2.3097794514624956,4.894830226898193,0.4641628644255305,0.10011391139489449,"OrderedDict([('C', 0.10011391139489449)])"
0.5810693035686673,0.61539024325405,0.4903939248188684,0.5931627701815041,0.5846571485453501,0.5729246407707455,0.042979441080745466,6,51.157856702804565,3.1070904479306503,6.670913887023926,1.2106759380063639,0.10005869169262276,"OrderedDict([('C', 0.10005869169262276)])"
0.5810693035686673,0.61539024325405,0.4903939248188684,0.5931627701815041,0.5848149145783231,0.5729561034090447,0.04298807509935984,4,50.61682887077332,1.9644322222496662,6.34604549407959,0.6819533082034686,0.10005651498911544,"OrderedDict([('C', 0.10005651498911544)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846160543770081,0.5727185285844764,0.04278298898958013,13,47.907451152801514,6.8968098856491915,6.122813129425049,1.2557454792557567,0.1,"OrderedDict([('C', 0.1)])"
0.5810693035686673,0.6144021382898359,0.4901882649122905,0.5929796065334046,0.5843151631010948,0.5725807589913567,0.04282817366765037,20,44.2410973072052,5.535213739230802,6.691889095306396,1.001232943202762,0.10005993913663394,"OrderedDict([('C', 0.10005993913663394)])"
0.5810693035686673,0.615616841709156,0.4901882649122905,0.5929796065334046,0.5846571485453501,0.5728922642612841,0.043086256987879885,8,49.52134156227112,4.72072623320519,5.987234783172608,1.2723387141473383,0.10008762318342841,"OrderedDict([('C', 0.10008762318342841)])"
0.5810693035686673,0.6144021382898359,0.4903939248188684,0.5931627701815041,0.5846160543770081,0.5727185285844764,0.04278298898958013,13,47.11527576446533,5.790875419187636,7.981495046615601,0.9884668616996328,0.1,"OrderedDict([('C', 0.1)])"
