,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Accuracy_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Accuracy_label_dos,Precision_label_nerisbotnet,Recall_label_nerisbotnet,F1_score_label_nerisbotnet,Num_Obs_label_nerisbotnet,AUC_label_nerisbotnet,Accuracy_label_nerisbotnet,Precision_label_scan,Recall_label_scan,F1_score_label_scan,Num_Obs_label_scan,AUC_label_scan,Accuracy_label_scan,Precision_label_anomaly_sshscan,Recall_label_anomaly_sshscan,F1_score_label_anomaly_sshscan,Num_Obs_label_anomaly_sshscan,AUC_label_anomaly_sshscan,Accuracy_label_anomaly_sshscan,Precision_label_anomaly_udpscan,Recall_label_anomaly_udpscan,F1_score_label_anomaly_udpscan,Num_Obs_label_anomaly_udpscan,AUC_label_anomaly_udpscan,Accuracy_label_anomaly_udpscan,Precision_label_anomaly_spam,Recall_label_anomaly_spam,F1_score_label_anomaly_spam,Num_Obs_label_anomaly_spam,AUC_label_anomaly_spam,Accuracy_label_anomaly_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,2.0,5.0,89.0,0.8164855443920442,0.8880463871543265,0.8507638072855463,4484.0,0.8172167328234087,0.8256583052539623,1.0,0.8796992481203008,0.9359999999999999,133.0,0.9398496240601504,0.9980032447273182,0.990909090909091,0.9646017699115044,0.9775784753363228,113.0,0.9822375938165115,0.9993760139772868,0.9830508474576272,0.90625,0.9430894308943092,64.0,0.9530620990061642,0.9991264195682016,0.0,0.0,0.0,19.0,0.5,0.9976288531136902,1.0,0.5,0.6666666666666666,6.0,0.75,0.9996256083863722,0.8362381989832971,0.7210394489668128,0.7743779421654339,3194.0,0.8137257838318189,0.8325221515038063,0.8293964769894662,0.8201672282540869,0.8221016036983684,8013.0,0.8204703364503501,0.8356281425810476,1276.1862950325012,23.671608686447144,2.523146390914917,1320.773053407669
0,16.0,5.0,93.0,0.9964404894327029,0.998884924174844,0.9976612094888072,4484.0,0.9971748883912768,0.9973789316025959,1.0,0.9924812030075189,0.9962264150943396,133.0,0.9962406015037594,0.9998751872191712,1.0,1.0,1.0,112.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,0.6842105263157895,0.8125000000000001,19.0,0.8421052631578947,0.9992511233150274,1.0,1.0,1.0,7.0,1.0,1.0,0.998430141287284,0.9959285937989352,0.9971777986829726,3193.0,0.9974455170696273,0.9977533699450823,0.9973822510916798,0.9968796804792812,0.9970590598789428,8012.0,0.9969640209123571,0.997633900497232,4427.197291851044,81.58166384696959,9.239946842193604,4557.521467208862
0,4.0,4.0,72.0,0.8155695944568984,0.8925066904549509,0.8523053987860717,4484.0,0.8179937080392669,0.8268846729905143,0.9732142857142856,0.8195488721804511,0.889795918367347,133.0,0.9095840566004426,0.9966300549176236,0.9714285714285714,0.9026548672566372,0.9357798165137614,113.0,0.9511375361729444,0.9982526210683974,0.9661016949152542,0.9047619047619048,0.9344262295081968,63.0,0.9522551503932808,0.99900149775337,0.0,0.0,0.0,19.0,0.5,0.9976285571642536,1.0,0.6666666666666666,0.8,6.0,0.8333333333333333,0.9997503744383424,0.8429203539823009,0.7157169693174703,0.7741280054182188,3194.0,0.8136492692166429,0.8334997503744384,0.8306758621461922,0.8187718422366451,0.8215248485185302,8012.0,0.8199731463200459,0.8366442784649786,998.3803541660308,69.52932262420654,9.809504747390749,1125.8622069358826
0,13.0,5.0,83.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,133.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3193.0,1.0,1.0,1.0,1.0,1.0,8012.0,1.0,1.0,4444.492309570313,37.794737339019775,9.36980152130127,4533.598115921021
0,9.0,4.0,93.0,0.8155004068348249,0.8940677966101694,0.8529787234042553,4484.0,0.8184543689600323,0.8274872050929971,0.9736842105263158,0.8409090909090909,0.902439024390244,132.0,0.9202641659647623,0.9970041193359132,0.981651376146789,0.9469026548672568,0.9639639639639641,113.0,0.973324713100886,0.999001373111971,0.9818181818181818,0.8571428571428571,0.9152542372881356,63.0,0.9285085196635272,0.998751716389964,0.0,0.0,0.0,19.0,0.5,0.9976282611409312,1.0,0.6666666666666666,0.8,6.0,0.8333333333333333,0.9997503432779928,0.8491743119266055,0.7244834063869756,0.7818888325730698,3194.0,0.8195802956784369,0.8388465859443266,0.8333883464348447,0.8237423542628886,0.8254425693520983,8011.0,0.8228867125253105,0.8391081162415533,1214.2585742473602,19.833901882171627,2.8941874504089355,1250.6379520893095
0,12.0,2.0,92.0,1.0,1.0,1.0,4484.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3194.0,1.0,1.0,1.0,1.0,1.0,8012.0,1.0,1.0,3908.054743766785,35.009010791778564,10.912052154541016,3994.425687551498
0,7.0,5.0,81.0,0.8157787718584789,0.8947368421052632,0.8534354392682408,4484.0,0.819003445138775,0.828029452140272,0.9636363636363636,0.7969924812030075,0.8724279835390947,133.0,0.8982424334949047,0.9961312866591788,0.97196261682243,0.9203539823008848,0.9454545454545454,113.0,0.9599871177327208,0.9985024335454886,1.0,0.8412698412698413,0.9137931034482758,63.0,0.9206349206349208,0.998752027954574,0.0,0.0,0.0,19.0,0.5,0.9976288531136902,1.0,0.7142857142857143,0.8333333333333333,7.0,0.8571428571428572,0.9997504055909148,0.8433734939759037,0.7232310582341891,0.7786954323276589,3194.0,0.817104219716804,0.8361412704355422,0.8311097422734341,0.8224135779358542,0.8236901665831738,8013.0,0.8216257473775564,0.8383514409202356,1200.6378371715546,31.52207636833191,4.405401945114137,1252.2260434627533
0,4.0,1.0,81.0,0.8161434977578476,0.8929527207850134,0.8528221512247072,4484.0,0.8186781172641417,0.8275302633221016,0.9478260869565216,0.8195488721804511,0.8790322580645162,133.0,0.9093937254303271,0.9962560838637214,0.9809523809523808,0.9196428571428572,0.9493087557603686,112.0,0.9596948623139928,0.9986272307500312,0.9814814814814816,0.828125,0.8983050847457628,64.0,0.9139995990061642,0.9985024335454886,0.0,0.0,0.0,19.0,0.5,0.9976288531136902,1.0,0.5714285714285714,0.7272727272727273,7.0,0.7857142857142857,0.9996256083863722,0.8444444444444444,0.7257357545397621,0.7806027950833473,3194.0,0.8185640798015266,0.8373892424809685,0.8314595470545916,0.8225383751403968,0.8240504379221487,8013.0,0.8220862989013208,0.8385712883356009,1057.722703456879,49.38485097885132,6.790077447891235,1156.9992351531982
0,10.0,3.0,87.0,0.8184408711581519,0.8967439785905441,0.8558050441630306,4484.0,0.8219547557351813,0.8308786819770344,0.981981981981982,0.8195488721804511,0.8934426229508197,133.0,0.9096475164303702,0.9967548676984525,0.981132075471698,0.9203539823008848,0.9497716894977171,113.0,0.9600503928468598,0.9986270594108836,0.9814814814814816,0.8412698412698413,0.9059829059829059,63.0,0.9205720196410849,0.9986270594108836,0.0,0.0,0.0,19.0,0.5,0.9976285571642536,1.0,0.6666666666666666,0.8,6.0,0.8333333333333333,0.9997503744383424,0.8463513017968464,0.7226048841577959,0.7795980408714744,3194.0,0.8178196691440702,0.8371193210184723,0.8340538923711333,0.8236395406889665,0.8256983216941017,8012.0,0.8237301546776131,0.840326925363328,1166.2070951461792,22.880362033843994,3.7760009765625,1215.3424158096311
0,13.0,4.0,94.0,0.99644128113879,0.9991079393398752,0.997772828507795,4484.0,0.9972857530552509,0.9975034327799276,1.0,0.9924242424242424,0.9961977186311788,132.0,0.9962121212121212,0.9998751716389964,1.0,1.0,1.0,112.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,0.7894736842105263,0.8823529411764706,19.0,0.8947368421052632,0.9995006865559856,1.0,1.0,1.0,7.0,1.0,1.0,0.9984306340238543,0.995929868503444,0.99717868338558,3194.0,0.9974459390264784,0.9977530895019348,0.9973823679563756,0.9972537760579204,0.9972868409067736,8011.0,0.9971503739795676,0.997703507197015,3901.516889572144,31.500802040100094,10.449258565902712,3990.148810863495
