,Rep.,Kfold,Num. Vars.,Precision-Background,Recall-Background,F1_score_Background,Num. Obs. Background,AUC_Background,Precision-DoS,Recall-DoS,F1_score_DoS,Num. Obs. Dos,AUC_DoS,Precision-Botnet,Recall-Botnet,F1_score_Botnet,Num. Obs. Botnet,AUC_Botnet,Precision-Scan,Recall-Scan,F1_score_Scan,Num. Obs. Scan,AUC_Scan,Precision-SSHscan,Recall-SSHscan,F1_score_SSHscan,Num. Obs. SSHscan,AUC_SSHscan,Precision-UDPscan,Recall-UDPscan,F1_score_UDPscan,Num. Obs. UDPscan,AUC_UDPscan,Precision-Spam,Recall-Spam,F1_score_Spam,Num. Obs. Spam,AUC_Spam,Precision-w,Recall-w,F1_score_w,Total Obs.,AUC_w,Time
0,18,4,95,0.818954790543343,0.8806868867082962,0.8486997635933806,4484,0.8165838743153049,1.0,1.0,1.0,133,1.0,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,63,1.0,1.0,0.05263157894736842,0.1,19,0.5263157894736842,1.0,1.0,1.0,6,1.0,0.8273078273078273,0.7381772627622926,0.7802052300562727,3193,0.8180301008705612,0.8298323771551921,0.8266134065659718,0.8255729671105226,8011,0.8236839601185282,12.098549365997314
0,11,4,86,0.8184074457083764,0.8824710080285458,0.8492327502950959,4484,0.8168023974383093,0.9921259842519684,0.9473684210526316,0.9692307692307692,133,0.973620750696388,1.0,0.9646017699115044,0.981981981981982,113,0.9823008849557522,1.0,1.0,1.0,63,1.0,1.0,0.05263157894736842,0.1,19,0.5263157894736842,1.0,1.0,1.0,6,1.0,0.8358369098712446,0.7316844082654979,0.7803005008347246,3194,0.8182083311564102,0.8327951613318306,0.8236395406889665,0.8251386805118542,8012,0.8231890813366916,10.249488830566406
0,20,2,94,0.8182194616977225,0.8813559322033898,0.8486149881898216,4484,0.8162801196862798,0.992248062015504,0.962406015037594,0.9770992366412212,133,0.9811395557421472,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,64,1.0,1.0,0.10526315789473684,0.1904761904761905,19,0.5526315789473684,1.0,1.0,1.0,6,1.0,0.8262726949092204,0.7266750156543519,0.7732800266533401,3194,0.8127045964347709,0.8289005423737302,0.8219143891176838,0.8226156568409159,8013,0.8211618742792515,22.035449028015137
0,1,4,86,0.8170327393286365,0.8793487957181089,0.8470461868958109,4484,0.8145326745030455,0.9919354838709676,0.9318181818181818,0.9609375,132,0.965845639132441,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,63,1.0,0.0,0.0,0.0,19,0.5,1.0,1.0,1.0,7,1.0,0.8279186004998215,0.7260488415779587,0.7736447039199332,3194,0.8130036652887718,0.8264955438114084,0.8197703444832751,0.8211457858663359,8012,0.8199063709148121,21.44375514984131
0,3,5,84,0.8161703887510339,0.8802408563782337,0.8469957081545064,4484,0.8140926425355871,0.992,0.9393939393939394,0.9649805447470818,132,0.969633509867042,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,63,1.0,0.5,0.05,0.09090909090909093,20,0.5249374296083094,1.0,1.0,1.0,6,1.0,0.8315527065527065,0.7312871907297213,0.7782036327278787,3193,0.8165568373739931,0.8285856715993545,0.8224940706528523,0.8231092957670353,8011,0.8211394036648793,14.3220694065094
0,12,4,88,0.8120115178938708,0.8804638715432649,0.844853413224909,4484,0.8106600616576546,0.992063492063492,0.9398496240601504,0.9652509652509652,133,0.9698613441448252,1.0,1.0,1.0,112,1.0,1.0,1.0,1.0,63,1.0,0.0,0.0,0.0,19,0.5,1.0,1.0,1.0,7,1.0,0.8283769258330348,0.7240839336047604,0.7727272727272728,3193,0.8123325438052859,0.8238686324885085,0.8197478467107727,0.8196254231802588,8011,0.8175345259785872,10.021385908126833
0,9,4,93,0.8176023031050792,0.8867082961641392,0.8507542527014016,4484,0.8176098895053754,1.0,0.9393939393939394,0.96875,132,0.9696969696969696,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,63,1.0,0.0,0.0,0.0,19,0.4999374374374375,1.0,1.0,1.0,6,1.0,0.8344679326406306,0.7291797119599248,0.7782790309106099,3194,0.8166346971674235,0.8295367998973099,0.8252402945949321,0.8251754205269719,8011,0.8231173110231139,9.866442441940306
0,2,5,89,0.8123324396782842,0.8784567350579839,0.8441015750562519,4484,0.8102966588296437,1.0,1.0,1.0,133,1.0,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,64,1.0,0.0,0.0,0.0,19,0.5,1.0,1.0,1.0,6,1.0,0.8261642374688944,0.7276142767689417,0.7737639420675878,3194,0.8130704710260978,0.8233205084229472,0.8210408086858855,0.8202113432567214,8013,0.8181476728627828,19.28436779975891
0,4,2,86,0.8178430966673567,0.8811329170383586,0.8483091787439614,4484,0.8158499052311975,0.9838709677419356,0.9172932330827068,0.9494163424124512,133,0.9585196968814982,1.0,1.0,1.0,113,1.0,1.0,1.0,1.0,63,1.0,0.0,0.0,0.0,19,0.4999374452646066,1.0,1.0,1.0,6,1.0,0.8314808174973108,0.7260488415779587,0.7751963897710178,3194,0.8142489953012251,0.8282342754933244,0.8205192211682476,0.8222750873636308,8012,0.8210140036437931,15.131001710891724
0,8,4,71,0.8204968944099379,0.8838090990187333,0.850977023835087,4484,0.8190303998495027,0.992,0.9323308270676692,0.9612403100775192,133,0.966101953703907,1.0,0.9734513274336284,0.9865470852017936,113,0.986725663716814,1.0,1.0,1.0,63,1.0,0.0,0.0,0.0,19,0.5,1.0,1.0,1.0,6,1.0,0.8313080771979986,0.728240450845335,0.7763684913217623,3194,0.8151372449328377,0.8297855807669208,0.8227658512231653,0.8242419767881118,8012,0.8230868987872283,10.34580659866333
