"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
1,1,0.966,0.893,1,0.975,0.997,0.891,0.896,0.812124248496994,0.819421934089681,0.981888792102207,0.953480684898301,0.963781173417904,0.816341452369829
1,2,0.958,0.883,0.968,0.978,0.965,0.884,0.887,0.795192789183776,0.798522239359706,0.921366094147583,0.960932506110171,0.932576522031618,0.796592669912669
1,3,0.964,0.888,0.964,0.976,0.994,0.888,0.891,0.812218327491237,0.821053104161528,0.999239350912779,0.953781707091279,0.998741188318228,0.820153101697604
1,4,0.946,0.889,0.985,0.951,0.966,0.889,0.892,0.804707060590886,0.818613052960039,0.978985801217038,0.872455470737914,0.764648503195426,0.817749053227162
1,5,0.977,0.902,0.987,0.996,0.989,0.903,0.906,0.838176352705411,0.840197454437608,0.97898528665652,0.969187545346486,0.966161871108868,0.840948829796794
2,1,0.956,0.891,0.952,0.967,1,0.892,0.894,0.809619238476954,0.816572742102922,0.918224251648909,0.92034750509165,0.963528902983999,0.816527741470081
2,2,0.977,0.893,1,0.971,0.999,0.891,0.896,0.812312312312312,0.81624650154116,0.983333333333333,0.963993625330555,0.93699545913219,0.813603359286152
2,3,0.98,0.898,1,0.996,0.999,0.892,0.899,0.817635270541082,0.820863212713633,0.932824686334351,0.950340638594763,0.966161871108868,0.816036426231329
2,4,0.954,0.888,1,0.988,0.902,0.887,0.891,0.803803803803804,0.815578068368872,0.98000858168201,0.978487283507568,0.891597062211982,0.811613373359419
2,5,0.965,0.904,0.961,0.962,1,0.909,0.908,0.833082706766917,0.835654749654544,0.975498778970649,0.962506354855109,0.966414141414141,0.839539821164579
3,1,0.958,0.895,0.992,0.952,0.939,0.901,0.901,0.827741612418628,0.828838046604963,0.980720060161685,0.952107188295165,0.960530397022332,0.832197664693564
3,2,0.971,0.889,0.995,0.987,1,0.886,0.891,0.807615230460922,0.817428129062886,0.941038656774697,0.942159020371311,0.941176470588235,0.816612530575123
3,3,0.98,0.9,0.987,0.991,1,0.898,0.903,0.821643286573146,0.824844875126046,0.965263047174938,0.981487649667794,0.9,0.82278605015674
3,4,0.951,0.884,0.982,0.986,0.891,0.887,0.888,0.811623246492986,0.814366959655149,0.980007809449434,0.953781318019729,0.963528902983999,0.814312608426779
3,5,0.96,0.889,0.986,0.966,0.999,0.887,0.892,0.804304304304304,0.813138628392701,0.958732894069944,0.950087737999574,0.998992950654582,0.809284885218374
4,1,0.98,0.889,0.992,0.994,1,0.889,0.893,0.807114228456914,0.810165774230484,0.999238578680203,0.982316039335368,0.911512053027376,0.807758568793884
4,2,0.967,0.898,0.957,0.998,0.974,0.9,0.902,0.822645290581162,0.825287761334273,0.976740342449151,0.940411944594352,0.968497474747475,0.826677289326623
4,3,0.942,0.884,0.998,0.922,0.947,0.885,0.887,0.807711567351027,0.818369105806238,0.978985801217038,0.908174925633026,0.891596426770406,0.817030535411133
4,4,0.979,0.898,1,0.993,0.997,0.898,0.902,0.826152304609218,0.829147675743246,0.981888792102207,0.98310760896331,0.999243570347958,0.829109876889101
4,5,0.963,0.902,0.98,0.996,0.921,0.904,0.906,0.827827827827828,0.833494832041344,0.94974593495935,0.9812350046409,0.873990918264379,0.834983661912267
