"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
1,4,0.982,0.965,0.997,0.984,1,0.967,0.967,0.903355032548823,0.913601091579366,0.998986315255955,0.996710526315789,0.970588235294118,0.914848427181833
1,2,0.978,0.959,1,0.989,0.996,0.961,0.962,0.900851276915373,0.908012593582552,0.97975451742575,0.996712190187152,0.94092394533571,0.91162978019483
2,1,0.985,0.962,0.997,0.996,1,0.963,0.964,0.910320641282565,0.915459163491766,0.962201154938585,0.997970573313039,0.944444444444444,0.917853761404717
1,3,0.983,0.96,0.994,0.997,1,0.962,0.963,0.898347521281923,0.904809535848977,0.99949264332826,0.9977192093259,0.963529284633672,0.909905298322278
1,5,0.981,0.96,1,0.981,0.998,0.961,0.962,0.904809619238477,0.911745728659032,0.980007809449434,0.997718052738337,0.999243570347958,0.91401618885846
3,4,0.975,0.958,1,0.996,0.974,0.96,0.96,0.890781563126252,0.898530176734036,0.999492385786802,0.977716894977169,0.999243570347958,0.901296738439971
1,1,0.984,0.962,1,0.99,1,0.964,0.964,0.897795591182365,0.905170377867746,0.999746063991874,0.995206861755802,0.999495713565305,0.910645105312249
2,3,0.986,0.961,1,0.989,1,0.962,0.963,0.896793587174349,0.904609599459185,0.999746063991874,0.996710526315789,0.99949545913219,0.907674292920195
2,2,0.985,0.96,1,0.981,1,0.961,0.961,0.907407407407407,0.914901754404248,0.999239350912779,0.997720364741641,0.968497729566095,0.913070004314811
2,5,0.976,0.964,0.996,0.973,1,0.967,0.966,0.897744360902256,0.90523311342427,0.976739571390775,0.995204442200909,0.966414141414141,0.911451247165533
3,1,0.987,0.966,1,0.991,1,0.967,0.967,0.902854281422133,0.908193249241124,0.9776461395506,0.997467071935157,0.998992443324937,0.913353593711408
2,4,0.971,0.962,1,0.977,0.981,0.965,0.964,0.898898898898899,0.906399906399906,0.99974632166413,0.997215189873418,0.998992950654582,0.910635584213137
3,2,0.985,0.961,0.996,0.997,1,0.964,0.964,0.898797595190381,0.904829021108091,0.99923896499239,0.99645928174001,0.941176470588235,0.909446694386919
3,3,0.983,0.963,0.996,0.989,1,0.964,0.965,0.902805611222445,0.909064061049961,0.999492385786802,0.996962025316456,1,0.912392716911637
4,2,0.988,0.969,0.996,1,1,0.97,0.97,0.912324649298597,0.917343290048273,0.998985801217039,0.998223350253807,1,0.920634465754314
