,AUC_label_background,AUC_label_dos,AUC_label_exploit,AUC_label_fuzzer,AUC_label_generic,AUC_label_reconnaissance,AUC_w,Accuracy_label_background,Accuracy_label_dos,Accuracy_label_exploit,Accuracy_label_fuzzer,Accuracy_label_generic,Accuracy_label_reconnaissance,Accuracy_w,F1_score_label_background,F1_score_label_dos,F1_score_label_exploit,F1_score_label_fuzzer,F1_score_label_generic,F1_score_label_reconnaissance,F1_score_w,Hyper_time,Kfold,Num_Obs_label_background,Num_Obs_label_dos,Num_Obs_label_exploit,Num_Obs_label_fuzzer,Num_Obs_label_generic,Num_Obs_label_reconnaissance,Num_Vars_,Precision_label_background,Precision_label_dos,Precision_label_exploit,Precision_label_fuzzer,Precision_label_generic,Precision_label_reconnaissance,Precision_w,Recall_label_background,Recall_label_dos,Recall_label_exploit,Recall_label_fuzzer,Recall_label_generic,Recall_label_reconnaissance,Recall_w,Rep,Testing_time,Total_Obs,Total_time,Training_time,Unnamed: 0
0,0.9856432825184104,0.6756924740524404,0.6675150262960181,0.7639818615981372,0.9909086419360248,0.4999365643237757,0.9080809318551548,0.9847480935116891,0.9911238904863108,0.8617327165895737,0.9534941867733466,0.991873984248031,0.9852481560195024,0.9646306907393182,0.9787308228730824,0.4496124031007752,0.4768211920529801,0.625,0.9893004115226336,0.0,0.8534167864961951,0.0,3.0,2839.0,82.0,1344.0,571.0,3045.0,117.0,65.0,0.9689333793579564,0.6170212765957447,0.6545454545454545,0.7363420427553444,0.9917491749174916,0.0,0.8904018809232613,0.9887284255019372,0.35365853658536583,0.375,0.542907180385289,0.986863711001642,0.0,0.8320830207551888,18.0,0.009798049926757812,7998.0,2.517987966537476,2.0102550983428955,
0,0.9874928665241336,0.6780651367878782,0.6673611297449107,0.7625677018938141,0.9937121352236968,0.50421006859728,0.909793806437714,0.9866233279159896,0.9916239529941244,0.8609826228278534,0.9523690461307665,0.994249281160145,0.9853731716464558,0.965998031859772,0.981329610888152,0.46399999999999997,0.4759660697455231,0.6186186186186186,0.9924391847468772,0.01680672268907563,0.8553772787782344,0.0,4.0,2839.0,81.0,1344.0,571.0,3045.0,117.0,67.0,0.9723374827109268,0.6590909090909091,0.6491002570694088,0.7219626168224299,0.9934188877920368,0.5,0.8980798286965525,0.9904896090172596,0.3580246913580247,0.3757440476190476,0.5411558669001751,0.9914614121510672,0.008547008547008548,0.8346880080030011,11.0,0.0028116703033447266,7997.0,2.805881977081299,2.3607194423675537,
0,0.9857065676481814,0.6516812572773366,0.6734668326465201,0.7651957503596806,0.9935107262571682,0.5085470085470085,0.9100606609946621,0.984625,0.991375,0.86325,0.95275,0.9940000000000001,0.985625,0.9656063390847712,0.9785751611217556,0.4201680672268908,0.4878277153558053,0.622754491017964,0.9921130463358528,0.03361344537815126,0.8563114437295128,0.0,2.0,2839.0,82.0,1344.0,571.0,3045.0,117.0,64.0,0.9679531357684356,0.6756756756756757,0.6578282828282829,0.7238979118329466,0.992765537652088,1.0,0.9053341260040544,0.9894328989080662,0.3048780487804878,0.3876488095238095,0.5464098073555166,0.9914614121510672,0.017094017094017096,0.8362090522630657,20.0,0.004386663436889648,7998.0,2.84821891784668,2.440664052963257,
0,0.9884526774085208,0.6515548510922775,0.6716036546098529,0.7635106715065917,0.9925250564636362,0.5040197615686071,0.9101592477136236,0.9872484060507564,0.9911238904863108,0.8626078259782473,0.9526190773846732,0.9932491561445179,0.9849981247655956,0.9661226876915504,0.982223771348902,0.4132231404958678,0.4842796809009855,0.6206206206206206,0.9911184210526316,0.016393442622950817,0.8561562234030559,0.0,4.0,2839.0,82.0,1344.0,571.0,3045.0,117.0,61.0,0.9720593308037254,0.6410256410256411,0.6556543837357052,0.7242990654205608,0.9927512355848436,0.2,0.8943913869927052,0.9926030292356464,0.3048780487804878,0.38392857142857145,0.542907180385289,0.9894909688013136,0.008547008547008548,0.8355838959739935,1.0,0.11395883560180665,7998.0,10.711034536361693,9.234436511993408,
0,0.9862262549908448,0.6656564381024539,0.6715315934065934,0.7599418099043391,0.9912632410910014,0.5084745762711864,0.908811742125687,0.9855,0.99125,0.8625,0.9520000000000001,0.992,0.9855,0.9649720867716928,0.9797556719022686,0.4354838709677419,0.4840525328330206,0.6144578313253012,0.9894771456757646,0.03333333333333333,0.8546028774455228,0.0,5.0,2839.0,81.0,1344.0,571.0,3045.0,118.0,62.0,0.9709443099273608,0.627906976744186,0.6548223350253807,0.72,0.9907803753704314,1.0,0.9044134561486786,0.9887284255019372,0.3333333333333333,0.38392857142857145,0.5359019264448336,0.9881773399014778,0.01694915254237288,0.8335833958489622,3.0,0.003322601318359375,7998.0,3.843408584594727,3.201140880584717,
0,0.984114479521482,0.6285563973063973,0.6672921830404086,0.7683492305244897,0.9927534719323148,0.4998731447418496,0.9079972349697536,0.9828771403574552,0.990376202974628,0.8608923884514436,0.9533808273965756,0.9933758280214972,0.9850018747656544,0.9643757338183708,0.9761697686554184,0.3529411764705882,0.4757418747056053,0.6288557213930348,0.9912871938188396,0.0,0.8522948200933074,0.0,4.0,2839.0,81.0,1344.0,572.0,3045.0,118.0,67.0,0.9642611683848796,0.5526315789473685,0.6482670089858793,0.7297921478060047,0.9924292297564188,0.0,0.8867307898699538,0.9883761887988728,0.25925925925925924,0.3757440476190476,0.5524475524475524,0.9901477832512317,0.0,0.8329791223902988,12.0,0.0026497840881347656,7999.0,1.885830402374268,1.5173180103302002,
0,0.989365736287387,0.6330092599725745,0.6675766795144332,0.7736124272035161,0.9920934179447118,0.5041466007202048,0.9101649811612124,0.9881205452044516,0.990246342378392,0.8608228085532075,0.9533575090658996,0.9928723271226708,0.9852444666750032,0.966032810634612,0.9834408227296496,0.3606557377049181,0.476235294117647,0.6332350049164208,0.9906203718940266,0.016666666666666666,0.85539553599701,0.0,4.0,2839.0,82.0,1344.0,571.0,3044.0,117.0,63.0,0.9734299516908212,0.55,0.647887323943662,0.7219730941704036,0.9924167490933068,0.3333333333333333,0.8942842837616418,0.9936597393448398,0.2682926829268293,0.3764880952380952,0.563922942206655,0.9888304862023654,0.008547008547008548,0.8355633362510941,9.0,0.0037865638732910156,7997.0,2.1678328514099117,1.6776769161224363,
0,0.9835421460563614,0.6514287958260312,0.6657360203545141,0.7779646151398742,0.9918948818568925,0.5042100846895368,0.9082073734580738,0.9816272965879264,0.9908761404824395,0.8612673415823022,0.9547556555430572,0.99262592175978,0.9853768278965128,0.963819265059676,0.9745189807592304,0.4065040650406505,0.4734345351043643,0.6437007874015749,0.99029764841309,0.01680672268907563,0.8528451445499733,0.0,5.0,2839.0,82.0,1344.0,572.0,3045.0,117.0,65.0,0.9593856655290104,0.6097560975609756,0.6531413612565445,0.7364864864864865,0.9917654808959157,0.5,0.8940135083840467,0.9901373723141952,0.3048780487804878,0.3712797619047619,0.5716783216783217,0.9888341543513958,0.008547008547008548,0.8343542942867859,2.0,0.0678396224975586,7999.0,6.217941761016847,4.045396804809569,
0,0.9864177936875904,0.6636868178079279,0.6712388979821831,0.7688319248321541,0.991830588541014,0.5127570771442884,0.9097433437659168,0.9846230778847356,0.991248906113264,0.8634829353669209,0.9534941867733466,0.9926240780097512,0.9856232029003624,0.9651727690017268,0.9786421253689876,0.435483870967742,0.4844192634560907,0.6294820717131474,0.9902944563250536,0.04958677685950413,0.8559410723652731,0.0,2.0,2839.0,82.0,1344.0,571.0,3045.0,117.0,63.0,0.9650684931506848,0.6428571428571429,0.6627906976744186,0.7297921478060047,0.9920896506262359,0.75,0.9013139207298844,0.9926030292356464,0.32926829268292684,0.38169642857142855,0.5534150612959721,0.9885057471264368,0.02564102564102564,0.8360840210052514,4.0,0.0019404888153076168,7998.0,1.9086368083953855,1.5471744537353516,
0,0.9859163000947491,0.6331358576943101,0.6675828905942542,0.7634433586363709,0.991830588541014,0.5084835728707842,0.9081905225272868,0.9849981247655956,0.990498812351544,0.8608576072009001,0.9524940617577196,0.9926240780097512,0.9854981872734092,0.9647838106545014,0.9790794979079498,0.36666666666666653,0.476235294117647,0.62,0.9902944563250536,0.03333333333333333,0.8531008022044564,0.0,4.0,2839.0,82.0,1344.0,571.0,3045.0,117.0,60.0,0.9692785640317568,0.5789473684210527,0.647887323943662,0.7226107226107226,0.9920896506262359,0.6666666666666666,0.8979169541941207,0.9890806622050018,0.2682926829268293,0.3764880952380952,0.542907180385289,0.9885057471264368,0.017094017094017096,0.8324581145286322,8.0,0.002475261688232422,7998.0,2.0421955585479736,1.632153034210205,
