"Train.dataset","Test.dataset","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
"nb15","ugr16","0.519","0.293","0.502","0.87","0.303","0.023","0.516","0.511",NA
"kdd","ugr16","0.521","0.747","0.689","0.325","0.742","0.022",NA,NA,NA
"ugr16","nb15","0.499","0.497","0.5","0.499","0.498","0.056","0.05",NA,"0.403"
"kdd","nb15","0.662","0.623","0.74","0.524","0.622","0.044",NA,NA,NA
"ugr16","kdd","0.495","0.478","0.5","0.5","0.5","0.185","0.503","0.499","0.501"
"nb15","kdd","0.619","0.623","0.595","0.427","0.564","0.067","0.505","0.551","0.473"
