"Train.dataset","Test.dataset","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
nb15,ugr16,0.651,0.508,0.832,0.499,0.517,0.0170940170940171,0.520990404386566,0.83638698630137,0.506779951939581
kdd,ugr16,0.374,0.501,0.586,0.15,0.499,0.958119658119658,NA,NA,NA
ugr16,nb15,0.623,0.695,0.731,0.565,0.691,0.934439178515008,NA,NA,NA
kdd,nb15,0.714,0.814,0.942,0.157,0.792,0.934439178515008,NA,NA,NA
ugr16,kdd,0.604,0.663,0.629,0.474,0.616,0.000382738493924026,NA,NA,NA
nb15,kdd,0.743,0.894,0.571,0.543,0.569,0.277772461965362,0.749904278740308,0.517155331237685,0.516701861313033
