"Train.dataset","Test.dataset","auc.multiclass","auc.background","auc.dos","auc.scan","auc.weighted","acc.overall","acc.background","acc.dos","acc.scan"
nb15,ugr16,0.428,0.63,0.657,0.12,0.625,0.0226386930922962,0.515979081929111,0.510833471691848,0.494858185437054
kdd,ugr16,0.465,0.579,0.454,0.398,0.574,0.968073637946762,NA,NA,NA
ugr16,nb15,0.461,0.506,0.392,0.536,0.503,0.899873577749684,NA,NA,NA
kdd,nb15,0.58,0.827,0.301,0.821,0.803,0.898103666245259,0.625571791613723,0.6284625158831,NA
ugr16,kdd,0.444,0.329,0.46,0.562,0.477,0.0119643986187442,NA,NA,NA
nb15,kdd,0.688,0.756,0.554,0.549,0.555,0.299888137736491,0.766855212859803,0.52587434371749,0.528059258360347
