split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params
0.1794951737751823,0.1786007980975816,0.17972125006414535,0.18185387047345655,0.18496257445979247,0.18092574204026698,0.002282587625199482,23,2084.2231578350065,48.906073558500466,41.945566177368164,6.186906669372506,1.1532629231795404,0.8146871373207755,"OrderedDict([('C', 1.1532629231795404), ('gamma', 0.8146871373207755)])"
0.18311894394159317,0.188158068072884,0.189441942466136,0.1902978071693997,0.1963483840900536,0.18947096788291304,0.004243884051139896,21,2254.7257714748384,15.998113649784207,16.299170589447023,3.1726977891862407,1.7596224946003123,0.7509140883005188,"OrderedDict([('C', 1.7596224946003123), ('gamma', 0.7509140883005188)])"
0.17692472837640444,0.17821618057953725,0.17676727177708426,0.17959814463751472,0.18259499014916972,0.17881928083823045,0.0021456764812734573,24,2275.2738337993624,31.405185805661297,17.926614570617676,6.099356647273932,5.217802821928109,1.8950357309564245,"OrderedDict([('C', 5.217802821928109), ('gamma', 1.8950357309564245)])"
0.1748467274233637,0.17490469086689872,0.17490469086689872,0.17492537313432835,0.1749543871288771,0.1749071562708777,3.529162840793521e-05,27,952.6286151885986,12.907952404971411,15.331003141403198,2.424830116097842,0.32865733091566424,1.8863725550252592,"OrderedDict([('C', 0.32865733091566424), ('gamma', 1.8863725550252592)])"
0.19520774832160565,0.20691332703157422,0.1972726078476945,0.19483812608511697,0.2018566772286936,0.19921727438900202,0.004587837345959939,19,1098.3453900814056,50.02493003238797,22.38694009780884,3.4366401247757934,6.55959078869654,0.6585514019239769,"OrderedDict([('C', 6.55959078869654), ('gamma', 0.6585514019239769)])"
0.178209217201447,0.17953480824825033,0.1789124546320782,0.17755579623254553,0.1769116941203312,0.17822510319262438,0.0009338125460533265,25,543.8826480388641,35.061044405905996,24.580876684188844,3.459376226151022,0.33500285795461465,0.1962997147741565,"OrderedDict([('C', 0.33500285795461465), ('gamma', 0.1962997147741565)])"
0.3164579865236218,0.3204748674040307,0.3108267393216111,0.3021356763962566,0.261815238419012,0.3023509529686592,0.021173452802075235,17,421.4743792057037,54.08775789323737,20.650153732299806,1.83960339227697,1.1412570783544689,0.14676617084206173,"OrderedDict([('C', 1.1412570783544689), ('gamma', 0.14676617084206173)])"
0.18522263936116196,0.20558268094952842,0.18442331270232276,0.19448808382951316,0.1926453655569292,0.19247129405848126,0.0076602818460926834,20,440.3369906425476,32.925863104684325,26.15022373199463,3.877309147149565,0.48368976569809263,0.21254829156394056,"OrderedDict([('C', 0.48368976569809263), ('gamma', 0.21254829156394056)])"
0.17552717014010727,0.17626350576223387,0.17490469086689872,0.17492537313432835,0.1749543871288771,0.1753151600699845,0.0005281954657744211,26,561.4340700626374,23.08482947483778,23.729881954193115,2.3064254277888603,0.3026399835035568,0.3227542730876736,"OrderedDict([('C', 0.3026399835035568), ('gamma', 0.3227542730876736)])"
0.1748467274233637,0.17490469086689872,0.17490469086689872,0.17492537313432835,0.1749543871288771,0.1749071562708777,3.529162840793521e-05,27,717.9529176712036,10.509621010624912,17.506522989273073,0.8791320928678349,0.1971694495083239,1.0966210581145086,"OrderedDict([('C', 0.1971694495083239), ('gamma', 1.0966210581145086)])"
0.347682893745711,0.38367798228442085,0.376220055690055,0.36760838663823736,0.3230019985444938,0.35964239122696134,0.021912637859621064,11,464.9169950962067,17.63093434819633,20.449930715560914,0.9668909143227145,7.504730675881609,0.125,"OrderedDict([('C', 7.504730675881609), ('gamma', 0.125)])"
0.17995790968015093,0.17900911570051523,0.18055800115518247,0.18384844938264097,0.18629381117223115,0.18193222820881896,0.0027208893723714147,22,1039.0784575462342,27.351678431025967,18.018870735168456,1.915138342133337,10.0,1.3119988963992344,"OrderedDict([('C', 10.0), ('gamma', 1.3119988963992344)])"
0.35526902859051884,0.3906033032106033,0.37748923579111726,0.37389568486646185,0.3219978194837308,0.36385621744482405,0.02377754138125748,6,484.2771446228027,30.311929345992034,19.976501083374025,1.3790789161978705,3.5843622272551254,0.125,"OrderedDict([('C', 3.5843622272551254), ('gamma', 0.125)])"
0.1748467274233637,0.17490469086689872,0.17490469086689872,0.17492537313432835,0.1749543871288771,0.1749071562708777,3.529162840793521e-05,27,508.7675094604492,18.659238119692848,23.042884016036986,0.9447060138678794,0.10114063034304871,0.4602735531048467,"OrderedDict([('C', 0.10114063034304871), ('gamma', 0.4602735531048467)])"
0.22018157329531265,0.24371725676710265,0.20302277230521723,0.218604207032501,0.22420497764434594,0.22194594401458878,0.013050679516451526,18,1047.1089993953706,15.513695529846647,26.61059308052063,2.3850893934091073,8.87707950007028,0.49442240736421783,"OrderedDict([('C', 8.87707950007028), ('gamma', 0.49442240736421783)])"
0.3562857153887725,0.3924075891143482,0.3758732754452374,0.37391372675724793,0.32051621818849885,0.3638048784667796,0.02447546760330934,7,480.343443775177,76.0308362922716,22.94291481971741,2.0589494705787343,4.351396199079466,0.125,"OrderedDict([('C', 4.351396199079466), ('gamma', 0.125)])"
0.3493023888163169,0.3726882401859328,0.35009488113510845,0.34979526270279726,0.3089831647485832,0.3461793031388021,0.02060867681130292,13,482.04141144752504,16.867098597618632,23.95217046737671,1.0236167629705726,5.696921728978053,0.15689497498572774,"OrderedDict([('C', 5.696921728978053), ('gamma', 0.15689497498572774)])"
