,Rep,Kfold,Num_Vars_,Precision_label_category_background,Recall_label_category_background,F1_score_label_category_background,Num_Obs_label_category_background,AUC_label_category_background,Accuracy_label_category_background,Precision_label_category_dos,Recall_label_category_dos,F1_score_label_category_dos,Num_Obs_label_category_dos,AUC_label_category_dos,Accuracy_label_category_dos,Precision_label_category_r2l,Recall_label_category_r2l,F1_score_label_category_r2l,Num_Obs_label_category_r2l,AUC_label_category_r2l,Accuracy_label_category_r2l,Precision_label_category_probe,Recall_label_category_probe,F1_score_label_category_probe,Num_Obs_label_category_probe,AUC_label_category_probe,Accuracy_label_category_probe,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,18.0,3.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9067314529509364,0.9972627737226276,0.9498448168839232,7672.0,0.5158093009717434,0.9047955696948272,0.6825396825396826,0.3412698412698413,0.4550264550264551,126.0,0.6694388914518087,0.987863791681395,0.5,0.013138686131386863,0.025604551920341397,685.0,0.5059925678798436,0.9192883233180158,0.8706037835304717,0.9080839028988924,0.8679097203078276,8486.0,0.5174691452245859,0.9072324946881228,0.0,1.7495989799499512,0.010814428329467772,2.1404595375061035
0,11.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9064867424242424,0.998175182481752,0.9501240694789082,7672.0,0.5144250145537594,0.905266878755744,0.6727272727272727,0.2936507936507937,0.4088397790055249,126.0,0.6457489705605961,0.9873924826204784,0.6666666666666666,0.01167883211678832,0.022955523672883792,685.0,0.5055830715313497,0.9197596323789324,0.8836903830908663,0.9080839028988924,0.8672625744653317,8486.0,0.5158328406724078,0.9076896411505794,0.0,1.871880292892456,0.0019342899322509766,2.35083532333374
0,20.0,2.0,31.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9065199384688204,0.9985662148070908,0.9503194194628792,7672.0,0.515214479952565,0.905631479736098,0.6981132075471698,0.2936507936507937,0.4134078212290503,126.0,0.6458686879040861,0.9876295947219604,0.6521739130434783,0.021897810218978103,0.042372881355932215,685.0,0.5104362817594955,0.9201225259189444,0.8829412469092159,0.9092730057735359,0.8690898309559189,8487.0,0.5169970305027981,0.9080629164280416,0.0,1.4423489570617676,0.0019316673278808594,1.7871127128601074
0,1.0,4.0,39.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9064756718361549,0.9980448383733056,0.9500589366586016,7672.0,0.5143598424995361,0.9051490514905148,0.703125,0.35714285714285715,0.4736842105263158,126.0,0.6774352008474722,0.9882172734770824,0.6666666666666666,0.01167883211678832,0.022955523672883792,685.0,0.5055830715313497,0.9197596323789324,0.8841317194194729,0.9089087909497996,0.8681664985018894,8486.0,0.5162443967666979,0.9075953626765156,0.0,2.0771517753601074,0.003211021423339844,2.662492275238037
0,3.0,5.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9066792989104692,0.9979144942648592,0.9501116902457184,7672.0,0.5155216643103437,0.905266878755744,0.7142857142857143,0.28,0.4022988505747127,125.0,0.6391628796938531,0.987745964416166,0.7241379310344828,0.030612244897959183,0.05874125874125874,686.0,0.5147933676739507,0.920702250500766,0.8891218378760886,0.9091444732500588,0.8700024448955332,8486.0,0.5174553168483407,0.907763078389066,0.0,1.8624186515808103,0.002047061920166016,2.295356273651123
0,12.0,4.0,47.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9072690620182616,0.9972627737226276,0.9501397081651659,7672.0,0.51887678563432,0.9053847060209732,0.65,0.30952380952380953,0.41935483870967744,126.0,0.6535060741196371,0.9872746553552492,0.55,0.016058394160583942,0.03120567375886525,685.0,0.5074524218944422,0.9195239778484742,0.8746427343629628,0.907848220598633,0.8680988024093089,8486.0,0.520123659406466,0.9077753942957664,0.0,1.5049407482147217,0.01001596450805664,2.029260635375977
0,9.0,4.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9077963688145247,0.9971324296141816,0.9503695881731784,7672.0,0.5212934875343634,0.9058449210464294,0.6851851851851852,0.29600000000000004,0.4134078212290503,125.0,0.6469833751943548,0.9876266792363894,0.6,0.026277372262773727,0.05034965034965035,685.0,0.5123695539688436,0.9199858590619844,0.879700870912573,0.9084266352386564,0.8698174388459359,8485.0,0.5225939543584666,0.9082246178703848,0.0,1.6544878482818604,0.012609243392944336,2.2042181491851807
0,2.0,5.0,42.0,1.0,1.0,1.0,3.0,1.0,1.0,0.906346199384324,0.997784150156413,0.9498697108822436,7672.0,0.5136160014585747,0.9047955696948272,0.6491228070175439,0.2936507936507937,0.4043715846994536,126.0,0.6456293676422848,0.9871568280900199,0.7142857142857143,0.01457725947521866,0.028571428571428567,686.0,0.507032252350095,0.9198774596441616,0.8870363515212376,0.9078590785907859,0.8673207542783908,8487.0,0.5152156696860231,0.90727103904253,0.0,1.845017671585083,0.01045083999633789,2.335692405700684
0,4.0,2.0,44.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9067535545023696,0.9975234619395204,0.9499751737835156,7672.0,0.5153464975545268,0.905020032995522,0.6923076923076923,0.28800000000000003,0.40677966101694907,125.0,0.6430431766535103,0.9876266792363894,0.625,0.021897810218978103,0.04231311706629056,685.0,0.5103720559875816,0.9199858590619844,0.8808811704986025,0.9083087802003535,0.8687143754961294,8485.0,0.5169974760956407,0.9074787674135124,0.0,1.5739414691925049,0.01395416259765625,2.076622724533081
0,8.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9066129414553212,0.9971324296141816,0.9497206703910616,7672.0,0.5151306319850049,0.9045599151643692,0.6567164179104478,0.35200000000000004,0.4583333333333333,125.0,0.6746247309256158,0.987745964416166,0.7,0.020408163265306117,0.03966005665722379,686.0,0.5098195155513814,0.92011311417462,0.8862625546881958,0.9086731086495404,0.8689318228580893,8486.0,0.5172220701888883,0.9070763034429472,0.0,2.1356449127197266,0.0034422874450683594,2.586577653884888
0,15.0,5.0,50.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9065387348969438,0.9975234619395204,0.9498572669728186,7672.0,0.5158975938828569,0.9048179997644009,0.6842105263157895,0.30952380952380953,0.4262295081967213,126.0,0.6536857359229713,0.9876310519495818,0.5263157894736842,0.01457725947521866,0.02836879432624113,686.0,0.5067119284688665,0.9193073389091766,0.8725528195127343,0.9078699340245052,0.8676332308148036,8488.0,0.5174287377385974,0.9072631999563888,0.0,1.450819730758667,0.00818943977355957,1.82596492767334
0,15.0,4.0,50.0,1.0,1.0,1.0,3.0,1.0,1.0,0.906505510131532,0.9971324296141816,0.949661721804978,7672.0,0.5139224801633561,0.904430827244874,0.6949152542372882,0.32799999999999996,0.4456521739130435,125.0,0.6629235737351992,0.9879802026867782,0.6818181818181818,0.021897810218978103,0.04243281471004244,685.0,0.5105002446813388,0.9202215413622435,0.8852822787335569,0.9085444902769594,0.8690132857399294,8485.0,0.5160131269460088,0.9069702519495176,0.0,1.88968563079834,0.04411745071411133,2.534129858016968
0,1.0,3.0,39.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9063572866106311,0.9979144942648592,0.9499348594825984,7672.0,0.5136811735127977,0.9049133969600566,0.7241379310344828,0.3333333333333333,0.4565217391304348,126.0,0.665709843320177,0.9882172734770824,0.6428571428571429,0.013138686131386863,0.02575107296137339,685.0,0.506248912406888,0.9197596323789324,0.8824147566632393,0.9085552674994108,0.8680251550859616,8486.0,0.5155104770736796,0.9073823127639918,0.0,2.0892295837402344,0.002749919891357422,2.5665624141693115
0,5.0,5.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9061871524902402,0.9984358706986444,0.950077519379845,7672.0,0.5127148678646596,0.9051490514905148,0.7291666666666666,0.28,0.40462427745664736,125.0,0.6392226740014351,0.987863791681395,0.7647058823529411,0.018950437317784258,0.03698435277382646,686.0,0.5092188412713776,0.9202309414398492,0.8921755718280194,0.9086731086495404,0.8682469985113241,8486.0,0.5144679973627165,0.9076201888785224,0.0,1.455831527709961,0.0017344951629638672,1.8202042579650881
0,20.0,4.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9061982493494204,0.9985662148070908,0.950142626813841,7672.0,0.5127800399188828,0.905266878755744,0.6470588235294118,0.264,0.3750000000000001,125.0,0.6309237024635255,0.9870390008247908,0.5789473684210527,0.016034985422740525,0.031205673758865245,686.0,0.5075047379363414,0.9195239778484742,0.8759596060201239,0.9083195851991516,0.8674023479983938,8486.0,0.5142661064447255,0.9076574142966324,0.0,1.8695836067199707,0.002415895462036133,2.384454727172852
0,2.0,3.0,42.0,1.0,1.0,1.0,4.0,1.0,1.0,0.9059910016575894,0.9973931178310741,0.949497456260082,7672.0,0.511579994498359,0.9040886061034524,0.6612903225806451,0.32799999999999996,0.4385026737967915,125.0,0.6627443195407797,0.9876281371509368,0.6190476190476191,0.018978102189781017,0.036827195467422094,685.0,0.5089763620408018,0.9198774596441616,0.8792684273022892,0.9085552674994108,0.8683224072056482,8486.0,0.5138267223346638,0.906638859654231,0.0,1.45318603515625,0.0020475387573242188,1.8708415031433103
0,6.0,5.0,45.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9067314529509364,0.9972627737226276,0.9498448168839232,7672.0,0.5158093009717434,0.9047955696948272,0.703125,0.35714285714285715,0.4736842105263158,126.0,0.6774352008474722,0.9882172734770824,0.6470588235294118,0.016058394160583942,0.031339031339031334,685.0,0.5076446802897254,0.9198774596441616,0.8827801969310901,0.9085552674994108,0.8686496443703761,8486.0,0.5177212347820479,0.9072852989645392,0.0,1.877186298370361,0.029539108276367188,2.38200306892395
0,5.0,4.0,38.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9070318984940116,0.9970020855057352,0.9498913380937596,7672.0,0.517519447660843,0.9049133969600566,0.6612903225806451,0.3253968253968254,0.4361702127659574,126.0,0.6614425820561449,0.9875103098857076,0.5652173913043478,0.018978102189781017,0.036723163841807904,685.0,0.5088481897772796,0.9196418051137032,0.8758243246446732,0.9080839028988924,0.8685693094385427,8486.0,0.5191270301426465,0.9073623046224416,0.0,1.962543487548828,0.0015671253204345705,2.299735307693481
0,9.0,3.0,29.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9057362507392076,0.998175182481752,0.9497116636696225,7672.0,0.5101305360261521,0.9044420878991398,0.6851851851851852,0.29600000000000004,0.4134078212290503,125.0,0.6469834967711073,0.9876281371509368,0.6,0.013119533527696792,0.025677603423680456,686.0,0.5061752006825767,0.9195239778484742,0.8778054046452214,0.908201744049022,0.8671315928913056,8486.0,0.5119998346873997,0.9069204176655812,0.0,1.8020992279052732,0.002079486846923828,2.17236876487732
0,6.0,2.0,52.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9070649596965388,0.9973931178310741,0.9500869133349888,7672.0,0.5177149638235125,0.905266878755744,0.6666666666666666,0.304,0.4175824175824176,125.0,0.6508639081559435,0.9875103098857076,0.5789473684210527,0.016034985422740525,0.031205673758865245,686.0,0.5075047379363414,0.9195239778484742,0.8770320055222743,0.907848220598633,0.8679792238395495,8486.0,0.5190213812394309,0.907664356746858,0.0,1.853909254074097,0.030765056610107425,2.498585700988769
