,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,8.0,4.0,24.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134328358208,0.9196595149253732,1.0,0.9581485755937555,7887.0,0.957951910167216,0.9571517412935324,1.0,0.2087658592848904,0.3454198473282443,867.0,0.6043829296424452,0.9573383084577114,0.9605941911826129,0.9571517412935324,0.9440856042383914,16080.0,0.957951910167216,0.9765983399235167,1843.437542438507,27.75163555145264,3.9176239967346187,1898.004987001419
0,12.0,3.0,61.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.9313482216708024,0.9994927720010144,0.9642179949844027,7886.0,0.964289288478232,0.963617140369426,0.9830508474576272,0.3344867358708189,0.4991394148020654,867.0,0.6670790239964141,0.9638037191367622,0.9654155831109964,0.9636793332918714,0.9553502502576148,16079.0,0.9644407514611748,0.9801191440633972,1997.76318359375,14.941832780838013,0.8148319721221924,2025.3524873256686
0,1.0,4.0,61.0,1.0,0.9997270369864883,0.9998634998635,7327.0,0.9998635184932442,0.9998756141551092,0.9369497977635024,0.998731930002536,0.9668548981095016,7886.0,0.9670212805145112,0.9664158218794702,0.9739884393063584,0.3891454965357968,0.5561056105610561,866.0,0.6942769486228579,0.966540207724361,0.967675856309614,0.9663536289570248,0.959773931758024,16079.0,0.9672973229457572,0.981669731708768,3019.4418880939484,14.111586809158325,1.6243975162506104,3049.987279891968
0,14.0,1.0,43.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.9210372620021026,0.9998731930002536,0.9588374779595062,7886.0,0.9586818668528668,0.9578953915044468,0.9948717948717948,0.223760092272203,0.3653483992467043,867.0,0.6118471773483024,0.9580819702717832,0.9609959384478156,0.9578953915044468,0.945497176823643,16079.0,0.9587124015649412,0.977004369026693,1475.376894235611,12.162826776504517,1.2898316383361816,1499.163260936737
0,12.0,1.0,60.0,1.0,0.9995905554797324,0.9997952358200806,7327.0,0.9997952777398662,0.9998134444375351,0.9291273584905658,0.99898567262584,0.96279098185373,7887.0,0.9628196608186559,0.9621292208196008,0.967509025270758,0.3091118800461361,0.4685314685314685,867.0,0.6542601598206229,0.9621914060070892,0.9634884522930691,0.9620670356321124,0.9530034792581856,16081.0,0.9630310443032908,0.979302669050815,1974.8241794109344,9.055812597274778,1.0173041820526123,1994.6830496788025
0,10.0,1.0,40.0,1.0,0.9995905554797324,0.9997952358200806,7327.0,0.9997952777398662,0.9998134212326636,0.920929689324924,0.9998731930002536,0.9587791828793776,7886.0,0.9586208391462882,0.9578331985820012,0.9948186528497408,0.22170900692840648,0.3626062322946176,866.0,0.6108216368369765,0.9580197773493376,0.9609406358221424,0.9578331985820012,0.9453603660804552,16079.0,0.9586513760189348,0.9769731120451468,1849.8854146003725,45.16450691223145,3.3426237106323238,1919.5129525661469
0,1.0,2.0,30.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134096280632,0.9200700116686116,0.9998731930002536,0.9583130772970344,7886.0,0.9581275144688768,0.9573330016171164,0.9945945945945946,0.21247113163972287,0.3501427212178877,866.0,0.6062026970320624,0.9575195919890532,0.9605044800931452,0.9573330016171164,0.9444570355113138,16078.0,0.9581580491809508,0.9766994064156173,1614.5998210906982,23.82776975631714,3.114036321640014,1663.644151687622
0,3.0,3.0,52.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134096280632,0.931936553030303,0.9983515090032968,0.9640014693277824,7886.0,0.9640805396578984,0.9634282871003856,0.9517684887459807,0.3418013856812933,0.5029736618521665,866.0,0.6704076610236601,0.9636148774723224,0.9640181097431888,0.9635526806816768,0.9554789445885472,16078.0,0.9645361469205548,0.980017352587378,2041.0155363082888,18.573870420455933,1.162688970565796,2067.282269001007
0,7.0,4.0,45.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134328358208,0.9225096570291468,0.9992392544693799,0.9593426658551429,7887.0,0.9592192854795332,0.9584577114427859,0.97196261682243,0.23990772779700115,0.3848288621646623,867.0,0.6197566641351403,0.9586442786069652,0.960480426229722,0.9584577114427859,0.9467961394221438,16080.0,0.9594024584814828,0.9773093139711888,1952.1345028877256,38.941004753112786,1.0782914161682131,2000.9675471782684
0,3.0,4.0,42.0,1.0,0.9995905554797324,0.9997952358200806,7327.0,0.9997952777398662,0.9998134328358208,0.920831387202242,1.0,0.9587841945288752,7886.0,0.9586282645838418,0.9578358208955224,1.0,0.22145328719723184,0.3626062322946176,867.0,0.610726643598616,0.9580223880597016,0.96117390046498,0.9578358208955224,0.9453265829793456,16080.0,0.958628264583842,0.9769733654488748,1836.3514847755432,31.644405364990234,3.8788187503814697,1895.0162436962128
0,16.0,5.0,25.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.91986469147323,1.0,0.9582599185855764,7886.0,0.9580739655803736,0.9572734622799924,1.0,0.2110726643598616,0.3485714285714286,867.0,0.6055363321799307,0.9574600410473288,0.9606973665624658,0.9572734622799924,0.9443092754119708,16079.0,0.9580739655803736,0.9766658065227036,1894.7432963848114,16.577481985092163,1.2795772552490234,1923.3951642513275
0,20.0,1.0,35.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998134212326636,0.9199813367549282,1.0,0.9583232077764277,7887.0,0.9581298828125,0.957335655202438,1.0,0.2113163972286374,0.3489037178265014,866.0,0.6056581986143187,0.9575222339697742,0.9607495990413656,0.957335655202438,0.9443961348455894,16079.0,0.9581298828125,0.9766996511692236,446.2649686336517,14.600969552993774,3.0308263301849365,476.9760890007019
0,7.0,5.0,67.0,1.0,0.9997269997269996,0.9998634812286691,7326.0,0.9998634998635,0.9998756141551092,0.942966690630242,0.99784455432991,0.96962976652498,7887.0,0.969869542789955,0.9693388892344053,0.9628712871287128,0.4491916859122402,0.6125984251968504,866.0,0.7241028435477195,0.9694010821568504,0.9700245552369045,0.9691523104670688,0.9641756370597808,16079.0,0.9702987839104856,0.9832555448622377,2000.2753052711487,9.730455160140993,0.7106783390045166,2018.3753552436829
0,17.0,2.0,28.0,1.0,0.9995904995904996,0.999795207864018,7326.0,0.9997952497952498,0.9998133980220192,0.9198553429771348,1.0,0.9582548459622046,7885.0,0.95806884765625,0.9572681470423586,1.0,0.210161662817552,0.3473282442748092,866.0,0.605080831408776,0.9574547490203396,0.9606928767416004,0.9572681470423586,0.9442760099997366,16077.0,0.95806884765625,0.9766653048448046,1865.9044108390808,26.854371786117554,2.2933664321899414,1913.7383790016172
