split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params
0.571315242904961,0.6690734622213028,0.5595275451708764,0.5663332225642318,0.546244243085448,0.5825305504861956,0.044108984741070716,23,193.72395524978637,4.370251980310589,1.7844843864440918,0.1037217984254085,9,568,"OrderedDict([('max_features', 9), ('n_estimators', 568)])"
0.5772131528853139,0.7089978275488918,0.5583764860498338,0.5738682465386428,0.5499254457988988,0.5937143577743749,0.05853549368223373,21,222.50060057640076,1.8922862726894796,1.4879510879516602,0.17061071499517122,11,565,"OrderedDict([('max_features', 11), ('n_estimators', 565)])"
0.5734661646485716,0.6942416721415189,0.5557542646199704,0.5751357218462119,0.5788646575125302,0.595509821543584,0.050035082431440024,20,272.1952105522156,5.147422755269152,1.9161189556121827,0.08840644380137885,14,598,"OrderedDict([('max_features', 14), ('n_estimators', 598)])"
0.5527564002017528,0.6444484684645942,0.5517904537601375,0.5423105452356963,0.5258722729713027,0.5634703355844701,0.041647603530805204,26,121.84483046531678,0.8300453887784701,1.3482250213623046,0.22722901514366098,6,598,"OrderedDict([('max_features', 6), ('n_estimators', 598)])"
0.6710346512886527,0.6966500296760699,0.5562901375298123,0.5739960691999763,0.5783810433024656,0.6153204265480561,0.05707058167549387,1,219.30220642089844,4.759232420931162,1.8435073375701905,0.5801563977848377,15,560,"OrderedDict([('max_features', 15), ('n_estimators', 560)])"
0.5486897228680715,0.6423457291512757,0.5399799131576842,0.5439904405159316,0.5225354443661809,0.5595403982563643,0.04235962348338105,27,112.23116526603698,0.7765888651080887,1.3963300704956054,0.11132927594775245,6,516,"OrderedDict([('max_features', 6), ('n_estimators', 516)])"
0.5705481991783775,0.6671093226590169,0.556694455572788,0.5661345985809612,0.545922584494013,0.5813126438235975,0.04375004171667384,24,148.3035295009613,4.679623173250417,1.6405613422393799,0.1376532935068662,9,506,"OrderedDict([('max_features', 9), ('n_estimators', 506)])"
0.574618118104118,0.6697969046303777,0.551519468965553,0.5646630686683517,0.541608382399411,0.5804754506761447,0.046078742387625986,25,129.6194890499115,1.0348701292851654,1.3662436962127686,0.08683758707841127,7,519,"OrderedDict([('max_features', 7), ('n_estimators', 519)])"
0.5512666444736919,0.46698614002325456,0.5405476266583984,0.5470601568359292,0.5088540798952795,0.5229479851353752,0.03170848807801008,28,105.34121127128601,1.054420124606226,2.034394645690918,0.13592911119094125,5,534,"OrderedDict([('max_features', 5), ('n_estimators', 534)])"
0.47778514096758007,0.45566136925842854,0.5076762078601742,0.5233793347417153,0.4689419001385266,0.4866872311899721,0.0250722332268175,29,90.93061137199402,2.4347506415452376,2.0589155197143554,0.22937421005039105,4,578,"OrderedDict([('max_features', 4), ('n_estimators', 578)])"
0.6735144524173589,0.6935282284388299,0.5540258994252214,0.5724332121908755,0.570822746221841,0.6129191011487635,0.058410373224612365,7,267.31137056350707,4.715290866862883,1.5654322147369384,0.10315981289864926,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.6740348857805436,0.69304715893883,0.555670617487009,0.573008186494105,0.5737107064237087,0.6139472192345191,0.05756397972264185,2,225.22662920951842,3.7837798904825513,1.542142677307129,0.05276956817208151,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.5756465802624308,0.6932925470971212,0.5577742134207339,0.5738145856858956,0.5771211463803718,0.5955492497242629,0.04939448184540066,19,248.08283548355104,5.711759748580553,1.676990032196045,0.16700629051839413,15,500,"OrderedDict([('max_features', 15), ('n_estimators', 500)])"
0.5800283029191883,0.6931525092480909,0.5557686250447038,0.5753255064521536,0.5630938723505647,0.5935016312327809,0.050595286695849354,22,206.2158944606781,3.0199459482014355,1.5980085372924804,0.11990497674053242,12,500,"OrderedDict([('max_features', 12), ('n_estimators', 500)])"
0.43211206126776663,0.3884400262585119,0.3983318732185572,0.3889385339934791,0.4099310849661481,0.40355497401341095,0.01629002796213503,30,61.39304876327515,0.6014285022096315,2.3372714042663576,0.17117503942831358,2,500,"OrderedDict([('max_features', 2), ('n_estimators', 500)])"
0.6735144524173589,0.6935282284388299,0.5540258994252214,0.5724332121908755,0.570822746221841,0.6129191011487635,0.058410373224612365,7,324.80289726257325,5.990155465798059,1.8822261333465575,0.17464402727741854,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.6735144524173589,0.6935282284388299,0.5540258994252214,0.5724332121908755,0.570822746221841,0.6129191011487635,0.058410373224612365,7,324.0397809505463,4.726338759324575,1.8138410091400146,0.24924907984005326,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.6740348857805436,0.69304715893883,0.555670617487009,0.573008186494105,0.5737107064237087,0.6139472192345191,0.05756397972264185,2,281.4930474758148,3.359757855225545,1.4218833446502686,0.10067233600092877,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.6735144524173589,0.6935282284388299,0.5540258994252214,0.5724332121908755,0.570822746221841,0.6129191011487635,0.058410373224612365,7,312.8511264324188,8.336629850878824,1.863283395767212,0.15603538566326958,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.6738683041095361,0.6932074919429507,0.5554759762668676,0.5728166353888984,0.5737107064237087,0.6138687035979864,0.057640044124230655,6,268.14662952423095,5.606159082313925,1.7176298141479491,0.10524668620075246,16,501,"OrderedDict([('max_features', 16), ('n_estimators', 501)])"
