,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Precision_label_backdoor,Recall_label_backdoor,F1_score_label_backdoor,Num_Obs_label_backdoor,AUC_label_backdoor,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Precision_label_shellcode,Recall_label_shellcode,F1_score_label_shellcode,Num_Obs_label_shellcode,AUC_label_shellcode,Precision_label_analysis,Recall_label_analysis,F1_score_label_analysis,Num_Obs_label_analysis,AUC_label_analysis,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,2.0,5.0,66.0,0.9774604267033724,0.9977168949771691,0.987484790544064,5694.0,0.9925041595568811,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.9002659574468085,0.5020393029291805,0.6446084265651035,2697.0,0.7453826728851087,0.9023255813953488,0.16033057851239668,0.272280701754386,1210.0,0.5794554460977344,0.996832658806968,0.9884836852207294,0.9926406167864028,5731.0,0.99336558908101,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,12.0,1.0,0.9666503485810618,0.8476440444944382,0.8779858984957921,16002.0,0.920243409204446,51815.52372574807
0,16.0,5.0,67.0,0.9897319874695442,0.9987706357569373,0.9942307692307694,5694.0,0.9965231853471792,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.8573959255978743,0.3589173155357805,0.5060115002613695,2697.0,0.6734078459819612,0.9063829787234042,0.1761786600496278,0.2950138504155125,1209.0,0.5873456848111849,0.9957664491091904,0.9848220516399162,0.990264011928778,5732.0,0.9912424602342146,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,12.0,1.0,0.9637198334828776,0.8238235110305606,0.857929384271797,16001.0,0.909398580899908,52553.77723383904
0,4.0,4.0,63.0,0.9842533310261292,0.9987708516242316,0.9914589506710824,5695.0,0.9949705218726629,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.8965053763440859,0.4946236559139785,0.6375149342891279,2697.0,0.7415240949443614,0.8958333333333334,0.17783291976840365,0.2967563837129054,1209.0,0.588071408505078,0.9966513923158266,0.986738789042052,0.9916703200350724,5731.0,0.99244437017828,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9678813417633778,0.8475095306543341,0.879743614391569,16001.0,0.920812738235368,51439.22533154488
0,13.0,5.0,67.0,0.9726168064350504,0.9980681419037584,0.9851781225621912,5694.0,0.9912716024869074,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.8947019867549669,0.5009269558769003,0.6422628951747089,2697.0,0.7444873823209203,0.8982300884955752,0.16790736145574855,0.2829268292682927,1209.0,0.5831761808968959,0.996834886583436,0.9891816436922004,0.9929935190050796,5731.0,0.9937143976567926,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9636820166325091,0.8484375,0.877730728259924,16000.0,0.9200762618972124,51110.990715026855
0,9.0,4.0,65.0,0.9736075407026564,0.9977168949771691,0.9855147887934774,5694.0,0.9913863465667018,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,12.0,1.0,0.9001314060446779,0.5079718205413423,0.6494429959706092,2697.0,0.7482724837182729,0.9,0.15619834710743802,0.2661971830985915,1210.0,0.5773891864011055,0.9971830985915492,0.9883091956028616,0.9927263167119448,5731.0,0.9933754782065728,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9651998297950868,0.8482405150321896,0.8776474829769514,15999.0,0.9201650432580905,52475.26763534546
0,12.0,2.0,65.0,0.9921534437663471,0.9991220368744512,0.9956255468066492,5695.0,0.9973778241814524,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.8994252873563219,0.46421950315165006,0.6123746637319638,2697.0,0.7268481761097998,0.8935185185185185,0.15963606286186932,0.27087719298245616,1209.0,0.5790405841621408,0.9961253962662908,0.9869132786599196,0.9914979402226312,5731.0,0.9923855585120436,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,12.0,1.0,0.9708219734479312,0.8411974251609274,0.8749720129292334,16001.0,0.9184924655812792,40633.87671661377
0,7.0,5.0,71.0,0.9919762776905634,0.998595258999122,0.9952747637381868,5695.0,0.9970652699926214,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,0.8859957776213934,0.4668149796069707,0.6114618746964545,2697.0,0.7273177221168452,0.9012875536480688,0.17369727047146402,0.2912621359223301,1209.0,0.5860710302590603,0.9961212976022568,0.9858663409527132,0.9909672893098308,5731.0,0.9918617766904406,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9690750920497376,0.8421052631578947,0.8760202470877639,15998.0,0.9187887440275802,51220.540428876884
0,4.0,1.0,71.0,0.9899060215802298,0.9989462592202318,0.9944055944055944,5694.0,0.996658961730446,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,13.0,1.0,0.9026297085998578,0.4710682492581602,0.6190592249573483,2696.0,0.7303849101661769,0.8888888888888888,0.1652892561983471,0.2787456445993032,1210.0,0.5817994052984432,0.9957664491091904,0.9849938928633746,0.9903508771929824,5731.0,0.9913282670394006,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,0.970079858532619,0.8419901243827739,0.8758117527463344,15999.0,0.9186432542480838,52239.30123114586
0,10.0,3.0,70.0,0.98526863084922,0.9984193888303478,0.9918004187020236,5694.0,0.9950858830431576,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,12.0,1.0,0.8857729138166894,0.4801631442343344,0.6227458523683578,2697.0,0.7338047924434095,0.8990825688073395,0.16198347107438016,0.27450980392156865,1210.0,0.5802479897630184,0.9961315280464216,0.98831123517097,0.9922059725019704,5732.0,0.9930843281425554,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9664853099773776,0.84425,0.8758336653158236,16000.0,0.9191593737371244,53455.95801591873
0,13.0,4.0,68.0,0.9899060215802298,0.9989462592202318,0.9944055944055944,5694.0,0.9966584154491921,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,13.0,1.0,0.7981790591805766,0.19503151649981465,0.3134684147794994,2697.0,0.5925157582499073,0.9078947368421052,0.17121588089330025,0.28810020876826725,1209.0,0.5848979052830039,0.9968276348255201,0.9869132786599196,0.9918456817185444,5731.0,0.992579959026044,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,0.9542837858045259,0.7965868600362568,0.8255391963202836,15997.0,0.8960808482986253,52184.085909605026
