,Rep,Kfold,Num_Vars_,Precision_background,Recall_background,F1_score_background,Num_Obs_background,AUC_background,Accuracy_background,Precision_dos,Recall_dos,F1_score_dos,Num_Obs_dos,AUC_dos,Accuracy_dos,Precision_nerisbotnet,Recall_nerisbotnet,F1_score_nerisbotnet,Num_Obs_nerisbotnet,AUC_nerisbotnet,Accuracy_nerisbotnet,Precision_scan,Recall_scan,F1_score_scan,Num_Obs_scan,AUC_scan,Accuracy_scan,Precision_sshscan,Recall_sshscan,F1_score_sshscan,Num_Obs_sshscan,AUC_sshscan,Accuracy_sshscan,Precision_udpscan,Recall_udpscan,F1_score_udpscan,Num_Obs_udpscan,AUC_udpscan,Accuracy_udpscan,Precision_spam,Recall_spam,F1_score_spam,Num_Obs_spam,AUC_spam,Accuracy_spam,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,18.0,3.0,84.0,0.8143826820766832,0.9220288289785236,0.8648690773067331,24073.0,0.7770106318457758,0.8166049709148598,0.9936507936507936,0.93993993993994,0.9660493827160496,333.0,0.9699432940556528,0.9994182971972502,0.9796380090497736,0.9096638655462184,0.943355119825708,476.0,0.9547114314877622,0.9986250661025912,1.0,1.0,1.0,140.0,1.0,1.0,0.0,0.0,0.0,22.0,0.5,0.9994182971972502,1.0,1.0,1.0,7.0,1.0,1.0,0.8102972399150743,0.5977758634192184,0.6879985578439768,12769.0,0.763220692876828,0.8169487043892121,0.8169093910285824,0.8123215230037018,0.8070538964726653,37820.0,0.7769956564271892,0.8214407323677718,0.0,4.847223997116089,0.03854084014892578,7.193403482437134
0,11.0,4.0,85.0,0.8135649115092888,0.922357926221336,0.8645523041878395,24072.0,0.7761338656419453,0.8160497091485986,0.9906832298136646,0.9550898203592816,0.972560975609756,334.0,0.97750489524073,0.9995240613432048,0.9794520547945206,0.9031578947368422,0.9397590361445782,475.0,0.9514584493097789,0.9985457429931254,1.0,0.9858156028368794,0.9928571428571428,141.0,0.9929078014184396,0.9999471179270228,0.0,0.0,0.0,22.0,0.5,0.9994182971972502,1.0,1.0,1.0,7.0,1.0,1.0,0.8122866894197952,0.5964445140574829,0.6878302099796795,12769.0,0.7630939188386493,0.8172131147540984,0.8170373139037049,0.812083553675304,0.8067853194818981,37820.0,0.7764005833372862,0.8211811970252926,0.0,3.215449094772339,0.020717382431030273,5.048561811447144
0,20.0,2.0,87.0,0.8156744647251093,0.922610393386782,0.8658531831117696,24073.0,0.7787562769290787,0.8180327868852459,0.9968253968253968,0.9429429429429428,0.9691358024691358,333.0,0.9714581335143128,0.9994711792702274,0.9863945578231292,0.9157894736842104,0.9497816593886462,475.0,0.9578144048030104,0.998783712321523,1.0,0.9858156028368794,0.9928571428571428,141.0,0.9929078014184396,0.9999471179270228,0.0,0.0,0.0,22.0,0.499986771786867,0.9993918561607616,1.0,1.0,1.0,7.0,1.0,1.0,0.8108509060082654,0.5992638421176286,0.6891831036656759,12769.0,0.7640046007921583,0.8175039661554733,0.8180319111648848,0.8132469592808038,0.8081629850695751,37820.0,0.7783985116803221,0.8225393112913993,0.0,4.3237247467041025,0.03728914260864258,6.492356061935425
0,1.0,4.0,85.0,0.8162358642972536,0.9234827399991692,0.8665536260695004,24073.0,0.7797148934211732,0.8189630099680072,0.9936102236421726,0.9339339339339341,0.9628482972136224,333.0,0.9669402917642356,0.9993654319029109,0.9797297297297296,0.9138655462184874,0.9456521739130436,476.0,0.9568122750506012,0.9986779831310648,1.0,1.0,1.0,141.0,1.0,1.0,0.0,0.0,0.0,22.0,0.5,0.9994183125776684,1.0,1.0,1.0,7.0,1.0,1.0,0.8135539629005059,0.6045109248962329,0.6936244776924113,12769.0,0.7669489000978051,0.8197033394146109,0.819194100349767,0.8155257661087756,0.8100313400962488,37821.0,0.7799815154215475,0.8238765524871307,0.0,5.8367042541503915,0.0368492603302002,8.042294979095459
0,3.0,5.0,82.0,0.8149289882197512,0.9224825523429709,0.8653767463611387,24072.0,0.7778194386796691,0.8173140484941431,0.9936102236421726,0.9311377245508982,0.9613601236476044,334.0,0.9655421849378472,0.999338956609112,0.976851851851852,0.888421052631579,0.9305402425578831,475.0,0.9440766359987374,0.9983341706549618,1.0,0.9858156028368794,0.9928571428571428,141.0,0.9929078014184396,0.9999471165287288,0.0,0.0,0.0,21.0,0.5,0.999444723551654,1.0,1.0,1.0,7.0,1.0,1.0,0.8092056421677802,0.5975409194142063,0.6874493197585368,12769.0,0.7628622760743686,0.8165472381607128,0.8168800839152901,0.8121579100452153,0.8069881053454147,37819.0,0.7772041942663541,0.8217521426959687,0.0,6.75369668006897,0.11796236038208008,9.870341062545775
0,12.0,4.0,83.0,0.8121935153333821,0.9219457483487724,0.8635965680266152,24073.0,0.7743139667764085,0.8146218931782125,0.9936708860759492,0.9429429429429428,0.9676425269645608,333.0,0.9714447955571544,0.9994447382337388,0.976851851851852,0.888421052631579,0.9305402425578831,475.0,0.9440766395839646,0.9983342147012164,1.0,0.9858156028368794,0.9928571428571428,141.0,0.9929078014184396,0.9999471179270228,0.0,0.0,0.0,22.0,0.499986771786867,0.9993918561607616,1.0,1.0,1.0,8.0,1.0,1.0,0.8089348544620961,0.5942199248120301,0.6851492301440375,12768.0,0.7613443548696907,0.8156266525647805,0.8150267517473685,0.8107879428873612,0.8051181910740568,37820.0,0.7745064007109179,0.819733393672776,0.0,5.424597978591919,0.028697729110717773,8.026275396347046
0,9.0,4.0,87.0,0.8129169415731985,0.9213193752077102,0.8637301865482728,24072.0,0.7750326873129036,0.8149656266525648,0.9936102236421726,0.9311377245508982,0.9613601236476044,334.0,0.9655421856495088,0.9993389740877844,0.9819004524886876,0.9117647058823528,0.9455337690631808,476.0,0.9557752406875346,0.9986779481755684,1.0,0.9857142857142858,0.9928057553956836,140.0,0.9928571428571428,0.9999471179270228,1.0,0.045454545454545456,0.08695652173913045,22.0,0.5227272727272727,0.9994447382337388,1.0,1.0,1.0,7.0,1.0,1.0,0.8079132099553287,0.5948782206907354,0.6852194307879663,12769.0,0.7613926451343982,0.8154680063458487,0.8157861138432239,0.8108143839238499,0.8054033359843362,37820.0,0.7750859238310828,0.8199020052680723,0.0,5.119944334030151,0.0336461067199707,7.556419849395753
0,2.0,5.0,86.0,0.8140966902466737,0.9226519337016574,0.8649816963938002,24073.0,0.7768627722043348,0.8166627006160598,0.9935897435897436,0.9281437125748504,0.959752321981424,334.0,0.9640451803731079,0.9993125512281535,0.9793103448275862,0.8968421052631579,0.9362637362637364,475.0,0.9483005577994684,0.9984664604320352,1.0,0.9787234042553192,0.989247311827957,141.0,0.9893617021276596,0.999920678987864,0.0,0.0,0.0,22.0,0.49998677213682896,0.9993918722402898,1.0,1.0,1.0,7.0,1.0,1.0,0.81152,0.595817996710784,0.6871387283236995,12769.0,0.7626423529777774,0.8168213426403321,0.8171407390724797,0.8117183575262421,0.8066562285631814,37821.0,0.7765403158201677,0.8214359830212529,0.0,6.349747180938722,0.06097245216369629,9.1850848197937
0,4.0,2.0,83.0,0.8160576958457519,0.9212811033107632,0.8654829268292683,24073.0,0.7788058361017658,0.8177106745286761,0.9936908517350158,0.945945945945946,0.9692307692307692,333.0,0.9729462963470328,0.9994711652872894,0.9863945578231292,0.9157894736842104,0.9497816593886462,475.0,0.957814402651874,0.9987836801607658,1.0,0.9857142857142858,0.9928057553956836,140.0,0.9928571428571428,0.9999471165287288,0.0,0.0,0.0,22.0,0.5,0.9994182818160184,1.0,1.0,1.0,7.0,1.0,1.0,0.8101612733213872,0.6019265408410995,0.6906901509705248,12769.0,0.7650151666281345,0.8179750918850314,0.8180105946674773,0.8133213464131785,0.8084318986599978,37819.0,0.778778511147721,0.8224886686808163,0.0,6.326141595840454,0.04911589622497559,8.732945203781128
0,8.0,4.0,84.0,0.8148623853211009,0.9224026918124041,0.8653040547123123,24073.0,0.7777067652704269,0.8172131147540984,0.9905063291139241,0.937125748502994,0.963076923076923,334.0,0.9685228593125864,0.9993654151242728,0.976958525345622,0.8926315789473684,0.9328932893289328,475.0,0.9461819027418592,0.9983870967741936,1.0,0.9858156028368794,0.9928571428571428,141.0,0.9929078014184396,0.9999471179270228,0.0,0.0,0.0,22.0,0.5,0.9994182971972502,1.0,1.0,1.0,7.0,1.0,1.0,0.8097415718387748,0.5963345864661654,0.6868431735149519,12768.0,0.7624615611558035,0.8164198836594394,0.8169711000670428,0.8117927022739292,0.8067652831943467,37820.0,0.7770430251720007,0.8216505037499849,0.0,5.327594041824341,0.05481386184692383,7.453887462615968
