,Rep,Kfold,Num_Vars_,Precision_label_category_background,Recall_label_category_background,F1_score_label_category_background,Num_Obs_label_category_background,AUC_label_category_background,Precision_label_category_dos,Recall_label_category_dos,F1_score_label_category_dos,Num_Obs_label_category_dos,AUC_label_category_dos,Precision_label_category_r2l,Recall_label_category_r2l,F1_score_label_category_r2l,Num_Obs_label_category_r2l,AUC_label_category_r2l,Precision_label_category_probe,Recall_label_category_probe,F1_score_label_category_probe,Num_Obs_label_category_probe,AUC_label_category_probe,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Time
0,18.0,3.0,50.0,1.0,1.0,1.0,3.0,1.0,0.9067314529509364,0.9972627737226276,0.9498448168839232,7672.0,0.5158093009717434,0.6825396825396826,0.3412698412698413,0.4550264550264551,126.0,0.6694388914518087,0.5,0.013138686131386863,0.025604551920341397,685.0,0.5059925678798436,0.8706037835304717,0.9080839028988924,0.8679097203078276,8486.0,0.5174691452245859,8.173012018203735
0,11.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,0.9064867424242424,0.998175182481752,0.9501240694789082,7672.0,0.5144250145537594,0.6727272727272727,0.2936507936507937,0.4088397790055249,126.0,0.6457489705605961,0.6666666666666666,0.01167883211678832,0.022955523672883792,685.0,0.5055830715313497,0.8836903830908663,0.9080839028988924,0.8672625744653317,8486.0,0.5158328406724078,2.00095534324646
0,20.0,2.0,31.0,1.0,1.0,1.0,4.0,1.0,0.9065199384688204,0.9985662148070908,0.9503194194628792,7672.0,0.515214479952565,0.6981132075471698,0.2936507936507937,0.4134078212290503,126.0,0.6458686879040861,0.6521739130434783,0.021897810218978103,0.042372881355932215,685.0,0.5104362817594955,0.8829412469092159,0.9092730057735359,0.8690898309559189,8487.0,0.5169970305027981,1.645500421524048
0,1.0,4.0,39.0,1.0,1.0,1.0,3.0,1.0,0.9064756718361549,0.9980448383733056,0.9500589366586016,7672.0,0.5143598424995361,0.703125,0.35714285714285715,0.4736842105263158,126.0,0.6774352008474722,0.6666666666666666,0.01167883211678832,0.022955523672883792,685.0,0.5055830715313497,0.8841317194194729,0.9089087909497996,0.8681664985018894,8486.0,0.5162443967666979,23.651548147201535
0,3.0,5.0,29.0,1.0,1.0,1.0,3.0,1.0,0.9066792989104692,0.9979144942648592,0.9501116902457184,7672.0,0.5155216643103437,0.7142857142857143,0.28,0.4022988505747127,125.0,0.6391628796938531,0.7241379310344828,0.030612244897959183,0.05874125874125874,686.0,0.5147933676739507,0.8891218378760886,0.9091444732500588,0.8700024448955332,8486.0,0.5174553168483407,3.3801417350769043
0,12.0,4.0,47.0,1.0,1.0,1.0,3.0,1.0,0.9072690620182616,0.9972627737226276,0.9501397081651659,7672.0,0.51887678563432,0.65,0.30952380952380953,0.41935483870967744,126.0,0.6535060741196371,0.55,0.016058394160583942,0.03120567375886525,685.0,0.5074524218944422,0.8746427343629628,0.907848220598633,0.8680988024093089,8486.0,0.520123659406466,12.67918348312378
0,9.0,4.0,50.0,1.0,1.0,1.0,3.0,1.0,0.9077963688145247,0.9971324296141816,0.9503695881731784,7672.0,0.5212934875343634,0.6851851851851852,0.29600000000000004,0.4134078212290503,125.0,0.6469833751943548,0.6,0.026277372262773727,0.05034965034965035,685.0,0.5123695539688436,0.879700870912573,0.9084266352386564,0.8698174388459359,8485.0,0.5225939543584666,1.7003192901611328
0,2.0,5.0,42.0,1.0,1.0,1.0,3.0,1.0,0.906346199384324,0.997784150156413,0.9498697108822436,7672.0,0.5136160014585747,0.6491228070175439,0.2936507936507937,0.4043715846994536,126.0,0.6456293676422848,0.7142857142857143,0.01457725947521866,0.028571428571428567,686.0,0.507032252350095,0.8870363515212376,0.9078590785907859,0.8673207542783908,8487.0,0.5152156696860231,7.919870376586914
0,4.0,2.0,44.0,1.0,1.0,1.0,3.0,1.0,0.9067535545023696,0.9975234619395204,0.9499751737835156,7672.0,0.5153464975545268,0.6923076923076923,0.28800000000000003,0.40677966101694907,125.0,0.6430431766535103,0.625,0.021897810218978103,0.04231311706629056,685.0,0.5103720559875816,0.8808811704986025,0.9083087802003535,0.8687143754961294,8485.0,0.5169974760956407,3.648712635040283
0,8.0,4.0,52.0,1.0,1.0,1.0,3.0,1.0,0.9066129414553212,0.9971324296141816,0.9497206703910616,7672.0,0.5151306319850049,0.6567164179104478,0.35200000000000004,0.4583333333333333,125.0,0.6746247309256158,0.7,0.020408163265306117,0.03966005665722379,686.0,0.5098195155513814,0.8862625546881958,0.9086731086495404,0.8689318228580893,8486.0,0.5172220701888883,2.574695348739624
