,Rep.,Kfold,Num. Vars.,Precision-Background,Recall-Background,F1_score_Background,Num. Obs. Background,AUC_Background,Precision-DoS,Recall-DoS,F1_score_DoS,Num. Obs. Dos,AUC_DoS,Precision-Botnet,Recall-Botnet,F1_score_Botnet,Num. Obs. Botnet,AUC_Botnet,Precision-Scan,Recall-Scan,F1_score_Scan,Num. Obs. Scan,AUC_Scan,Precision-SSHscan,Recall-SSHscan,F1_score_SSHscan,Num. Obs. SSHscan,AUC_SSHscan,Precision-UDPscan,Recall-UDPscan,F1_score_UDPscan,Num. Obs. UDPscan,AUC_UDPscan,Precision-Spam,Recall-Spam,F1_score_Spam,Num. Obs. Spam,AUC_Spam,Precision-w,Recall-w,F1_score_w,Total Obs.,AUC_w,Time
0,18,3,84,0.8144193725921849,0.9221086739780658,0.8649248933309954,24072,0.7770735425761128,0.9905063291139241,0.93993993993994,0.9645608628659476,333,0.9699299539635674,0.9775784753363228,0.9159663865546218,0.945770065075922,476,0.9578492957892276,1.0,1.0,1.0,140,1.0,0.0,0.0,0.0,22,0.5,1.0,1.0,1.0,7,1.0,0.8102368057767867,0.5975877192982456,0.687852152355195,12768,0.7631251969744721,0.8168589728449975,0.81239092495637,0.8070589040098723,37818,0.7770432008918448,0:00:42.307597
0,11,4,85,0.8135649115092888,0.922357926221336,0.8645523041878395,24072,0.7761338656419453,0.9906832298136646,0.9550898203592816,0.972560975609756,334,0.97750489524073,0.9794050343249427,0.9010526315789472,0.9385964912280702,475,0.9504058177308312,1.0,0.9858156028368794,0.9928571428571428,141,0.9929078014184396,0.0,0.0,0.0,22,0.5,1.0,1.0,1.0,7,1.0,0.8122866894197952,0.5964445140574829,0.6878302099796795,12769,0.7630939188386493,0.817036723350478,0.8120571126388154,0.8067707185079335,37820,0.7763873628190421,0:00:54.535683
0,20,2,87,0.8156377391751441,0.9226071784646062,0.8658310754176333,24072,0.7787050151016469,0.9936708860759492,0.9429429429429428,0.9676425269645608,333,0.9714447941338696,0.9863945578231292,0.9157894736842104,0.9497816593886462,475,0.9578144005006224,1.0,0.9787234042553192,0.989247311827957,141,0.9893617021276596,0.0,0.0,0.0,22,0.4999867710868875,1.0,1.0,1.0,7,1.0,0.8106446140797285,0.5988408521303258,0.6888288288288289,12768,0.7637717234703525,0.817911362579283,0.8130784282616743,0.8080043168490217,37818,0.7782742914602726,0:00:44.560560
0,1,4,85,0.8161991481862241,0.9234795613160518,0.8665315350432681,24072,0.7796769351532253,0.9936102236421726,0.9339339339339341,0.9628482972136224,333,0.96694029105265,0.981981981981982,0.9159663865546218,0.9478260869565216,476,0.9578760810236692,1.0,1.0,1.0,141,1.0,0.0,0.0,0.0,22,0.5,1.0,1.0,1.0,7,1.0,0.8132377740303541,0.6042759808912209,0.6933548995821539,12769,0.7667701408587676,0.8190924024227563,0.8154680063458487,0.8099521291562536,37820,0.7799103977557337,0:00:37.978898
0,3,5,82,0.8149656868141949,0.9225624195089528,0.8654325798908806,24071,0.7778957438346392,0.9936102236421726,0.9311377245508982,0.9613601236476044,334,0.965542184226148,0.9769053117782909,0.8905263157894737,0.9317180616740088,475,0.9451292639922652,1.0,0.9858156028368794,0.9928571428571428,141,0.9929078014184396,0.0,0.0,0.0,21,0.5,1.0,1.0,1.0,7,1.0,0.8088016967126193,0.5973059754091942,0.6871480697328709,12769,0.7626635270474851,0.8167677759378893,0.8121529430429953,0.8069351777119024,37818,0.7771988607710826,0:00:38.587472
0,12,4,83,0.8121935153333821,0.9219457483487724,0.8635965680266152,24073,0.7743139667764085,0.9936708860759492,0.9429429429429428,0.9676425269645608,333,0.9714447955571544,0.976798143851508,0.8863157894736842,0.9293598233995584,475,0.9430240080050172,1.0,0.9858156028368794,0.9928571428571428,141,0.9929078014184396,0.0,0.0,0.0,22,0.499986771786867,1.0,1.0,1.0,8,1.0,0.8089348544620961,0.5942199248120301,0.6851492301440375,12768,0.7613443548696907,0.8150260772021499,0.8107615018508726,0.8051033656086891,37820,0.7744931801926735,0:00:37.089394
0,9,4,87,0.8129169415731985,0.9213193752077102,0.8637301865482728,24072,0.7750326873129036,0.9936102236421726,0.9311377245508982,0.9613601236476044,334,0.9655421856495088,0.9819004524886876,0.9117647058823528,0.9455337690631808,476,0.9557752406875346,1.0,0.9857142857142858,0.9928057553956836,140,0.9928571428571428,1.0,0.045454545454545456,0.08695652173913045,22,0.5227272727272727,1.0,1.0,1.0,7,1.0,0.8079132099553287,0.5948782206907354,0.6852194307879663,12769,0.7613926451343982,0.8157861138432239,0.8108143839238499,0.8054033359843362,37820,0.7750859238310828,0:01:03.702920
0,2,5,86,0.8141427471681513,0.9226071784646062,0.8649880236022667,24072,0.7768997192970445,0.9935897435897436,0.9281437125748504,0.959752321981424,334,0.9640451789498232,0.9793103448275862,0.8968421052631579,0.9362637362637364,475,0.948300551346232,1.0,0.9787234042553192,0.989247311827957,141,0.9893617021276596,0.0,0.0,0.0,22,0.4999867714368865,1.0,1.0,1.0,7,1.0,0.8115401023890785,0.5959429824561403,0.6872290462427745,12768,0.7627034380565401,0.8171770703955041,0.8117348422750469,0.8066923659487645,37819,0.7765848145285352,0:00:39.060204
0,4,2,83,0.8161410223383506,0.9212778331671652,0.8655283442287054,24072,0.7789133236838299,0.9936908517350158,0.945945945945946,0.9692307692307692,333,0.9729462956353712,0.9863945578231292,0.9157894736842104,0.9497816593886462,475,0.9578144005006224,1.0,0.9857142857142858,0.9928057553956836,140,0.9928571428571428,0.0,0.0,0.0,22,0.5,1.0,1.0,1.0,7,1.0,0.8102212855637513,0.6021614848461116,0.6908666157509321,12769,0.7651312035193072,0.8180839482174113,0.8133957374795071,0.8085188814563409,37818,0.7788861077301699,0:00:35.956499
0,8,4,84,0.814706098187422,0.922399468261881,0.8652145111639324,24072,0.7775232956352688,0.9904761904761904,0.934131736526946,0.9614791987673345,334,0.9670258522570704,0.97926267281106,0.8947368421052632,0.935093509350935,475,0.9472479197672846,0.9929577464788732,1.0,0.9964664310954064,141,0.9999867296565634,0.0,0.0,0.0,22,0.5,1.0,1.0,1.0,7,1.0,0.8092810873951365,0.5968828320802005,0.6870407933288258,12768,0.7625945436597561,0.816718632932826,0.8120257013670378,0.806800438881913,37819,0.7769976845343571,0:01:05.286269
0,15,5,81,0.8159304373348988,0.923815062518174,0.866527693896238,24073,0.7794313546387335,0.990625,0.951951951951952,0.9709035222052068,333,0.9759359621045004,0.9817351598173516,0.9033613445378152,0.9409190371991246,476,0.9515735600152656,1.0,0.9645390070921984,0.9819494584837544,141,0.9822695035460992,0.0,0.0,0.0,22,0.4999735435737341,1.0,1.0,1.0,7,1.0,0.8126724686902993,0.5997023809523809,0.6901306894997746,12768,0.7646244620712728,0.8187012046344214,0.8140137493389741,0.8087824703052509,37820,0.7789638085629543,0:00:44.287829
0,15,4,83,0.8123694720257941,0.92107012296444,0.8633115934975177,24072,0.7742762413760149,0.9936507936507936,0.937125748502994,0.9645608628659476,334,0.9685361969138954,0.9816933638443937,0.9031578947368422,0.9407894736842104,475,0.9514718351147792,0.9925373134328358,0.9432624113475178,0.9672727272727272,141,0.9716179353303224,1.0,0.045454545454545456,0.08695652173913045,22,0.5227272727272727,1.0,1.0,1.0,7,1.0,0.8065751675710182,0.59375,0.6839897144403844,12768,0.7605890233922797,0.8149565336008664,0.8100690129300088,0.8045996504103233,37819,0.7742276811498559,0:00:42.933534
