split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params
0.4593452646600658,0.5596684904052276,0.5426576905634172,0.563537272105376,0.56291227412254,0.5375814817428789,0.039904106219611185,26,16.391253328323366,0.8599397535282014,1.104804563522339,0.06380765939011147,9,568,"OrderedDict([('max_features', 9), ('n_estimators', 568)])"
0.46060417000032267,0.5726225166026638,0.5505384027610324,0.5666726573812946,0.5718527655113462,0.5444128360545111,0.04270680330256124,23,21.253258657455444,1.078855376947214,1.2121228218078612,0.06334679414611931,11,565,"OrderedDict([('max_features', 11), ('n_estimators', 565)])"
0.4573941460385122,0.5752508803018074,0.5451109134951037,0.5674934352488759,0.5932518242750539,0.5476471294813092,0.04775277610151308,22,28.327289581298828,1.2066801663062747,1.2655257701873779,0.11299187513625215,14,598,"OrderedDict([('max_features', 14), ('n_estimators', 598)])"
0.4621966524843876,0.5838317288601601,0.5406125812675016,0.562477791312741,0.5594705234921231,0.5416789112129855,0.04208980031119845,25,49.98455023765564,2.508004476775993,2.497207498550415,0.23182150250518255,6,598,"OrderedDict([('max_features', 6), ('n_estimators', 598)])"
0.4559502008778041,0.5877895120819048,0.5506851380637143,0.570247736575713,0.5794232495146737,0.5487699409054196,0.04808245347873866,21,79.5387375831604,1.4739633119968878,1.7953468322753907,0.1536936482435335,15,560,"OrderedDict([('max_features', 15), ('n_estimators', 560)])"
0.46507038587167127,0.5828299832711608,0.5417467363072634,0.5632715008810733,0.5584393154499515,0.5422340022285408,0.040792544350380315,24,39.5643846988678,1.3770212386043497,1.95731520652771,0.17310062902249454,6,516,"OrderedDict([('max_features', 6), ('n_estimators', 516)])"
0.4568658307478133,0.5596003916377355,0.5413325802513771,0.56257381180428,0.5612155351811458,0.5362745791310837,0.04050033620065556,27,51.99636363983154,1.070710065022264,1.8997954368591308,0.09636912903185647,9,506,"OrderedDict([('max_features', 9), ('n_estimators', 506)])"
0.4536291432714727,0.5413553655179659,0.535688608318268,0.5621305568513589,0.5698954337243253,0.53249211731144,0.04146376827317485,28,46.27765440940857,0.8520317949660327,1.9920059204101563,0.09814938799288037,7,519,"OrderedDict([('max_features', 7), ('n_estimators', 519)])"
0.44949714246903183,0.5531284043818196,0.5171699751736069,0.5573470543036896,0.5514780299742464,0.5256829845451161,0.040765287637358004,29,41.159113597869876,0.5310865076707946,1.9341903686523438,0.09824077496132073,5,534,"OrderedDict([('max_features', 5), ('n_estimators', 534)])"
0.43241207373043267,0.5314070238685886,0.519263091540298,0.5491421275720926,0.5464743114543043,0.5156923247227884,0.04306869248979011,30,39.478647994995114,0.8326243420006839,2.1779877662658693,0.05060954255744568,4,578,"OrderedDict([('max_features', 4), ('n_estimators', 578)])"
0.4547009520185525,0.5932581182645659,0.5418381237918753,0.572393676244103,0.5839027622143164,0.5491682889250861,0.050368433287440076,13,85.51505551338195,0.8395104038389553,1.5268185138702393,0.07786632076597699,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.4547009520185525,0.5932581182645659,0.5418381237918753,0.572393676244103,0.5839027622143164,0.5491682889250861,0.050368433287440076,13,85.36379351615906,1.6806275975281664,1.6407358646392822,0.18701721443804856,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.45438779736524826,0.6021257010512364,0.549582211964235,0.5861637390308622,0.579785131147668,0.5543585134961813,0.05287177167712015,1,69.73151841163636,0.3466357727694481,1.1586292743682862,0.09617851537519488,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.45475718115834357,0.6021257010512364,0.5490832057885595,0.5853664234481671,0.579785131147668,0.5541733801789391,0.05264603553051945,10,70.297864818573,0.4836052813361671,1.0957525253295899,0.0762908696285415,16,501,"OrderedDict([('max_features', 16), ('n_estimators', 501)])"
0.45438779736524826,0.6021257010512364,0.549582211964235,0.5861637390308622,0.579785131147668,0.5543585134961813,0.05287177167712015,1,70.52876796722413,1.3093903698230966,1.1730370998382569,0.13014585881929683,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.45438779736524826,0.6021257010512364,0.549582211964235,0.5861637390308622,0.579785131147668,0.5543585134961813,0.05287177167712015,1,74.54131622314453,2.18103116855021,1.335451030731201,0.0700326008793736,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.45438779736524826,0.6021257010512364,0.549582211964235,0.5861637390308622,0.579785131147668,0.5543585134961813,0.05287177167712015,1,74.95668735504151,0.6995162670142439,1.3843120098114015,0.05046913307039448,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.4547009520185525,0.5932581182645659,0.5418381237918753,0.572393676244103,0.5839027622143164,0.5491682889250861,0.050368433287440076,13,86.0210877418518,1.4062676469171573,1.269738245010376,0.1392234187245917,16,600,"OrderedDict([('max_features', 16), ('n_estimators', 600)])"
0.45438779736524826,0.6021257010512364,0.549582211964235,0.5861637390308622,0.579785131147668,0.5543585134961813,0.05287177167712015,1,76.65559692382813,4.288975681585539,1.1774117946624756,0.15012785057667277,16,500,"OrderedDict([('max_features', 16), ('n_estimators', 500)])"
0.45475718115834357,0.6021257010512364,0.5490832057885595,0.5853664234481671,0.579785131147668,0.5541733801789391,0.05264603553051945,10,78.81597170829772,0.37417008385728245,1.1750876903533936,0.08086742383446212,16,501,"OrderedDict([('max_features', 16), ('n_estimators', 501)])"
