,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Accuracy_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Accuracy_label_dos,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Accuracy_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Accuracy_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Accuracy_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Accuracy_label_reconnaissance,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,8.0,4.0,60.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7998.0,1.0,1.0,1279.7786955833435,41.4888117313385,1.7790427207946775,1331.318986415863
0,12.0,3.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7997.0,1.0,1.0,2366.254146575928,12.193820238113403,1.345827341079712,2385.309691905976
0,1.0,4.0,61.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7998.0,1.0,1.0,1039.3293685913086,28.70827388763428,4.74377179145813,1089.5148515701294
0,14.0,1.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7999.0,1.0,1.0,1293.3815264701846,48.28842759132385,1.3452980518341064,1350.5318956375122
0,12.0,1.0,64.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7997.0,1.0,1.0,2741.4709360599522,10.204052448272703,1.7217059135437012,2757.181580781937
0,10.0,1.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7998.0,1.0,1.0,2074.023977518081,297.25407171249384,2.1197516918182373,2381.324642419815
0,1.0,2.0,68.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,1.0,7998.0,1.0,1.0,1057.2862446308136,40.51458859443665,2.674733638763428,1113.3166582584379
0,3.0,3.0,70.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3044.0,1.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,1.0,7999.0,1.0,1.0,1028.0932188034058,42.34712958335877,1.7196261882781982,1082.025053024292
0,7.0,4.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,1.0,8000.0,1.0,1.0,1276.1753370761874,38.632300138473504,4.707172632217407,1335.8130736351013
0,3.0,4.0,66.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7997.0,1.0,1.0,975.852144241333,27.61259436607361,3.539283037185669,1017.4875392913817
0,16.0,5.0,67.0,1.0,1.0,1.0,2840.0,1.0,1.0,1.0,1.0,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,572.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7999.0,1.0,1.0,1237.7334434986115,37.27368688583374,4.695605993270874,1295.8324766159058
0,20.0,1.0,67.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,1.0,7998.0,1.0,1.0,1279.5119590759275,130.90729308128357,5.2526960372924805,1437.4829478263855
0,7.0,5.0,69.0,1.0,1.0,1.0,2839.0,1.0,1.0,1.0,1.0,1.0,82.0,1.0,1.0,1.0,1.0,1.0,1344.0,1.0,1.0,1.0,1.0,1.0,571.0,1.0,1.0,1.0,1.0,1.0,3045.0,1.0,1.0,1.0,1.0,1.0,118.0,1.0,1.0,1.0,1.0,1.0,7999.0,1.0,1.0,1276.7600257396698,37.46170711517335,3.5690698623657227,1333.2194378376007
