,AUC_Background,AUC_Botnet,AUC_DoS,AUC_SSHscan,AUC_Scan,AUC_Spam,AUC_UDPscan,AUC_w,F1_score_Background,F1_score_Botnet,F1_score_DoS,F1_score_SSHscan,F1_score_Scan,F1_score_Spam,F1_score_UDPscan,F1_score_w,Kfold,Num. Obs. Background,Num. Obs. Botnet,Num. Obs. Dos,Num. Obs. SSHscan,Num. Obs. Scan,Num. Obs. Spam,Num. Obs. UDPscan,Num. Vars.,Precision-Background,Precision-Botnet,Precision-DoS,Precision-SSHscan,Precision-Scan,Precision-Spam,Precision-UDPscan,Precision-w,Recall-Background,Recall-Botnet,Recall-DoS,Recall-SSHscan,Recall-Scan,Recall-Spam,Recall-UDPscan,Recall-w,Rep.,Time,Total Obs.,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,0.8191097707310575,0.960113700011202,0.9095206289836264,0.5,0.8904991980123286,0.8034448799841682,0.5833333333333334,0.8159917882261789,0.8521330054527959,0.9541284403669724,0.8861788617886179,0.0,0.8620689655172413,0.7606735839428475,0.2857142857142857,0.8153152159553894,5,4484,113,133,19,64,3194,6,89,0.8184432121585541,0.9904761904761904,0.9646017699115044,0.0,0.9615384615384616,0.8327746741154562,1.0,0.8283459352182984,0.8887154326494202,0.9203539823008848,0.8195488721804511,0.0,0.78125,0.7000626174076393,0.16666666666666666,0.8093098714588793,2,33334.21177458763,8013,,,
0,0.8216670105449257,0.9552938517179024,0.9132165354368278,0.5,0.9061870910920988,0.8154497864992725,0.6428571428571428,0.8223330913643312,0.8542090063108354,0.9488372093023256,0.8870967741935483,0.0,0.8888888888888888,0.7765617107257115,0.4444444444444445,0.8230265058730137,5,4484,112,133,19,64,3193,7,93,0.8207605344295992,0.9902912621359224,0.9565217391304348,0.0,0.981132075471698,0.8397669337217771,1.0,0.8324498903207335,0.8904995539696701,0.9107142857142856,0.8270676691729323,0.0,0.8125,0.7222048230504228,0.2857142857142857,0.8193959061407888,16,29569.742447853085,8012,,,
0,0.8127082233428607,0.9422879786508206,0.8603311171697489,0.5,0.8966995948377253,0.8083285441023838,0.6666666666666666,0.8133898774311403,0.8485234756745273,0.925925925925926,0.8067226890756303,0.0,0.8695652173913043,0.7670580228007488,0.5,0.8143371125464943,4,4484,113,133,19,63,3194,6,72,0.8101419878296146,0.9708737864077671,0.9142857142857144,0.0,0.9615384615384616,0.8401043607901603,1.0,0.8254937172656969,0.8907225691347012,0.8849557522123894,0.7218045112781954,0.0,0.7936507936507936,0.7056981840951785,0.3333333333333333,0.8107838242636046,4,27620.11633753777,8012,,,
0,0.8228633781791039,0.9511375361729444,0.9018748801181784,0.5,0.8966995948377253,0.8178361737165374,0.6428571428571428,0.8236383257051976,0.8555864131595813,0.9357798165137614,0.8699186991869919,0.0,0.8695652173913043,0.7795807978363759,0.4444444444444445,0.8243867935801048,5,4484,113,133,19,63,3193,7,83,0.8210332103321033,0.9714285714285714,0.9469026548672568,0.0,0.9615384615384616,0.8468600807932427,1.0,0.8348506687278673,0.8931757359500446,0.9026548672566372,0.8045112781954887,0.0,0.7936507936507936,0.7222048230504228,0.2857142857142857,0.8202695956065901,13,27537.151453971866,8012,,,
0,0.8220304206090041,0.9599870696513289,0.9086466902814156,0.5,0.9046360869461021,0.8224423739810046,0.6666666666666666,0.8253373266722575,0.855926792934667,0.9454545454545454,0.8744939271255062,0.0,0.8793103448275862,0.7855935069327021,0.5,0.8273408456376441,4,4484,113,132,19,63,3194,6,93,0.8184778184778185,0.97196261682243,0.9391304347826088,0.0,0.9622641509433962,0.8540441176470588,1.0,0.8361366975934236,0.8969669937555754,0.9203539823008848,0.8181818181818182,0.0,0.8095238095238095,0.7273011897307452,0.3333333333333333,0.8251154662339284,9,34761.6951713562,8011,,,
0,0.8178217689097643,0.9467760565636738,0.8594677741885864,0.5,0.8966995948377253,0.8223576766628379,0.7142857142857143,0.8219109767987834,0.8522461145411965,0.9351851851851852,0.8154506437768241,0.0,0.8695652173913043,0.785534062237174,0.6,0.8241095097339463,2,4484,113,132,19,63,3194,7,92,0.8152749490835031,0.9805825242718448,0.9405940594059404,0.0,0.9615384615384616,0.8487822609960014,1.0,0.832406961741498,0.8927297056199821,0.8938053097345132,0.7196969696969697,0.0,0.7936507936507936,0.7310582341891045,0.42857142857142855,0.8221417873190214,12,27093.50901246071,8012,,,
0,0.8213005518945988,0.9422880026884732,0.8982424334949047,0.5,0.8887631027253668,0.8135565063306731,0.7142857142857143,0.8208720852796542,0.8548593350383631,0.925925925925926,0.8724279835390947,0.0,0.8596491228070176,0.7740189445196209,0.6,0.8217179849350882,5,4484,113,133,19,63,3194,7,81,0.8185714285714286,0.9708737864077671,0.9636363636363636,0.0,0.9607843137254902,0.8417954378219279,1.0,0.8317197928503611,0.8945138269402321,0.8849557522123894,0.7969924812030075,0.0,0.7777777777777778,0.7163431433938635,0.42857142857142855,0.8182952701859478,7,29618.50003385544,8013,,,
0,0.8211169072163385,0.941774436328132,0.8943561314453646,0.5,0.8983116980123286,0.8217404611754531,0.6428571428571428,0.8239669656778025,0.8543378508163482,0.9252336448598132,0.8606557377049181,0.0,0.8717948717948717,0.7847163777141895,0.4444444444444445,0.8254379630256661,1,4484,112,133,19,64,3194,7,81,0.8191119296091672,0.9705882352941176,0.945945945945946,0.0,0.9622641509433962,0.8485620677102294,1.0,0.8344323892996515,0.8927297056199821,0.8839285714285714,0.7894736842105263,0.0,0.796875,0.7298058860363181,0.2857142857142857,0.8225383751403968,4,29005.84655570984,8013,,,
0,0.8231094028452892,0.9467760565636738,0.9021287194378892,0.5,0.9046361027742332,0.8215714499971797,0.8333333333333333,0.8254346807539915,0.8567475521498509,0.9351851851851852,0.884297520661157,0.0,0.8793103448275862,0.7844856661045531,0.8,0.8276070006584962,3,4484,113,133,19,63,3194,6,87,0.8194218241042345,0.9805825242718448,0.981651376146789,0.0,0.9622641509433962,0.8501461988304093,1.0,0.8359513876843971,0.897636039250669,0.8938053097345132,0.8045112781954887,0.0,0.8095238095238095,0.728240450845335,0.6666666666666666,0.8255117324013979,10,28260.4456050396,8012,,,
0,0.8196377657054652,0.9507029596874829,0.8517015888033783,0.5,0.9046360869461021,0.8175570592515108,0.6428571428571428,0.8209247788487429,0.8531796841655996,0.9351851851851852,0.794871794871795,0.0,0.8793103448275862,0.7793300791112607,0.4444444444444445,0.8217462809860172,4,4484,112,132,19,63,3194,7,94,0.8179214402618658,0.971153846153846,0.9117647058823528,0.0,0.9622641509433962,0.8427375318529304,1.0,0.8308585979687431,0.8916146297948261,0.9017857142857144,0.7045454545454546,0.0,0.8095238095238095,0.7247964934251722,0.2857142857142857,0.8188740481837473,13,31020.425260305405,8011,,,
